index,year,week,number
,2019,1,205
,2019,2,245
,2019,3,215
,2019,4,221
,2019,5,179
,2019,6,135
,2019,7,232
,2019,8,181
,2019,9,156
,2019,10,133
,2019,11,109
,2019,12,96
,2019,13,99
,2019,14,108
,2019,15,125
,2019,16,134
,2019,17,156
,2019,18,192
,2019,19,287
,2019,20,307
,2019,21,376
,2019,22,400
,2019,23,400
,2019,24,464
,2019,25,430
,2019,26,497
,2019,27,591
,2019,28,661
,2019,29,644
,2019,30,605
,2019,31,597
,2019,32,521
,2019,33,522
,2019,34,474
,2019,35,412
,2019,36,326
,2019,37,314
,2019,38,299
,2019,39,258
,2019,40,243
,2019,41,226
,2019,42,239
,2019,43,241
,2019,44,306
,2019,45,321
,2019,46,372
,2019,47,329
,2019,48,295
,2019,49,280
,2019,50,257
,2019,51,226
,2019,52,290
