date,locality,cases with onset in laStreet 2 weeks
150102,"Hillside Drive/ Leith Park, Road / Phillips Avenue / Rosyth Road/ Yio Chu Kang Road",4
150102,"Cassia Cres (Blk 28, 32, 34, 36, 54) / Jalan Tiga (Blk 43) / Pine Cl",3
150102,Brighton Avenue / ChepStreetow Cl / Ripley Cres / Serangoon Gdn Way / Street Heliers Avenue,4
150102,"Bishan Street 12 (Blk 135, 137, 138, 140)",2
150102,"Geylang Road / Lorong 3 Geylang (Blk 113, 114) / Lorong 3 Geylang",1
150102,"Lorong 32, 34, 36 Geylang",5
150102,Geylang EaStreet Avenue 1 / Geylang EaStreet Central (Blk 122),2
150102,"Pasir Ris Drive 4, Lk",2
150102,Upp Serangoon Cres / Upp Serangoon Cres (Blk 470B),2
150102,Ang Mo Kio Avenue 1 (Blk 307C) / Ang Mo Kio Street 31 (Blk 309A),1
150102,"Bishan Street 12 (Blk 112, 122)",3
150102,Sungei Kadut Loop (near Choa Chu Kang Way),2
150102,Sungei Kadut Loop (near Sungei Kadut Street 3),2
150102,"WeStreet CoaStreet Road (Blk 519, 702)",1
150102,"Yishun Street 71 (Blk 723, 725) / Yishun Street 72 (Blk 755)",3
150102,Ang Mo Kio Avenue 1 (Blk 215),2
150102,Bloxhome Drive / CrowhurStreet Drive,1
150102,Ceylon Road / Haig Road,2
150102,Clover Cres,1
150102,Jalan Loyang Besar,2
150102,Jalan Tenggiri / Street Patricks Road,1
150102,"Jurong WeStreet Street 93 (Blk 975, 977)",1
150102,"Lorong 1 Toa Payoh (Blk 111, 114)",2
150102,"Lorong 2 Toa Payoh (Blk 145, 146)",1
150102,Pasir Ris Drive 6 (Blk 469) / Pasir Ris Street 41 (Blk 464),2
150102,Tanah Merah Kechil Road,1
150102,"Woodlands Street 82 (Blk 874, 875)",1
150107,"Hillside Drive / Jalan Limbok / Leith Park, Road / Phillips Avenue / Rosyth Road / Yio Chu Kang Road",8
150107,Brighton Avenue/ ChepStreetow Cl / Ripley Cres / Serangoon Gdn Way / Street Heliers Avenue,7
150107,"Geylang Road / GuillemaRoad Road / Lorong 26, 30, 32, 34, 36 Geylang",9
150107,"Upp Serangoon Cres / Upp Serangoon Cres (Blk 470B, 471B)",2
150107,"Bishan Street 13 (Blk 175, 185, 186, 191) / Bishan Street 13, 15",6
