date,Locality,cases with onset in last 2 weeks
150102,"Hillside Dr/ Leith Pk, Rd / Phillips Ave / Rosyth Rd/ Yio Chu Kang Rd",4
150102,"Cassia Cres (Blk 28, 32, 34, 36, 54) / Jln Tiga (Blk 43) / Pine Cl",3
150102,Brighton Ave / Chepstow Cl / Ripley Cres / S'goon Gdn Way / St Heliers Ave,4
150102,"Bishan St 12 (Blk 135, 137, 138, 140)",2
150102,"Geylang Rd / Lor 3 Geylang (Blk 113, 114) / Lor 3 Geylang",1
150102,"Lor 32, 34, 36 Geylang",5
150102,Geylang East Ave 1 / Geylang East Central (Blk 122),2
150102,"Pasir Ris Dr 4, Lk",2
150102,Upp S'goon Cres / Upp S'goon Cres (Blk 470B),2
150102,Ang Mo Kio Ave 1 (Blk 307C) / Ang Mo Kio St 31 (Blk 309A),1
150102,"Bishan St 12 (Blk 112, 122)",3
150102,Sungei Kadut Loop (near Choa Chu Kang Way),2
150102,Sungei Kadut Loop (near Sungei Kadut St 3),2
150102,"West Coast Rd (Blk 519, 702)",1
150102,"Yishun St 71 (Blk 723, 725) / Yishun St 72 (Blk 755)",3
150102,Ang Mo Kio Ave 1 (Blk 215),2
150102,Bloxhome Dr / Crowhurst Dr,1
150102,Ceylon Rd / Haig Rd,2
150102,Clover Cres,1
150102,Jln Loyang Besar,2
150102,Jln Tenggiri / St Patricks Rd,1
150102,"Jurong West St 93 (Blk 975, 977)",1
150102,"Lor 1 Toa Payoh (Blk 111, 114)",2
150102,"Lor 2 Toa Payoh (Blk 145, 146)",1
150102,Pasir Ris Dr 6 (Blk 469) / Pasir Ris St 41 (Blk 464),2
150102,Tanah Merah Kechil Rd,1
150102,"Woodlands St 82 (Blk 874, 875)",1
150107,"Hillside Dr / Jln Limbok / Leith Pk, Rd / Phillips Ave / Rosyth Rd / Yio Chu Kang Rd",8
150107,Brighton Ave/ Chepstow Cl / Ripley Cres / S'goon Gdn Way / St Heliers Ave,7
150107,"Geylang Rd / Guillemard Rd / Lor 26, 30, 32, 34, 36 Geylang",9
150107,"Upp S'goon Cres / Upp S'goon Cres (Blk 470B, 471B)",2
150107,"Bishan St 13 (Blk 175, 185, 186, 191) / Bishan St 13, 15",6
