date,locality,cases with onset in last 2 weeks
160104,"Tampines Ave 1 (Blk 890B) / Tampines Ave 3 / Tampines Ave 4 / Tampines Ave 4 (Blk 801, 803, 804, 805, 806, 807, 808, 809, 810, 811, 812, 816) / Tampines St 81 (Blk 813, 814, 818, 819, 820, 894A, 895A, 899) / Tampines St 91 (Blk 927, 929, 932, 933, 934)",28
160104,"Pasir Ris St 11 (Blk 110, 111, 112, 113, 116, 117, 119, 120, 121, 122, 124, 126, 127, 128, 129, 132, 133, 134) / Pasir Ris St 12 (Blk 101, 108, 199) / Pasir Ris St 21 (Blk 213, 216) / Pasir Ris St 51 (Blk 551, 558)",10
160104,"Joo Ave / Kent Rd (Blk 53) / Mergui Rd / Owen Rd / Oxford Rd (Kentish Court, Kentish Lodge) / Perumal Rd / Race Course Rd (Blk 681, 682, 684) / Rangoon Rd (Blk 677) / Rangoon Rd (R66 Apts, Suites 123) / Rangoon Ln, Rd / S'goon Rd / Sing Ave / Sing Ave (Bliss Regalia) / Sing Joo Walk / Starlight Rd / Tessensohn Rd (Blk 683)",4
160104,"Eastwood Dr, Green, Pl, Rd, Ter, Walk, Way / Eastwood Rd (Fairmount Condo, Laguna 88) / Jln Greja",1
160104,"How Sun Dr (Sun Rosier) / How Sun Rd (Townhouse Condo) / How Sun Dr, Walk / Jln Kesoma / Jln Rindu / Lor How Sun / Lor Ong Lye (Casa Rosa) / Lor Ong Lye / S'goon Ln",5
160104,"Jln Chegar / Jln Hari Raya / Jln Ikan Merah / Jln Isnin / Jln Khamis / Jln Minggu / Jln Pintau / Jln Rabu / Jln Terubok / Sin Ming Rd (Blk 23, 25) / Sin Ming Rd (Sin Ming Plaza) / Sin Ming Rd (Thomson V Two)",2
160104,"Ee Teow Leng Rd / Flower Rd / Highland Cl, Rd, Walk / Hillside Dr / Jansen Rd / Jln Sahabat / Kovan Rd / Kovan Rd (Kovana, Kovan Lodge) / Palm Gr Ave (Palm Gr Condo) / Palm Gr Ave / Upp S'goon Rd",6
160104,"Golden Rise / Jln Pacheli / Li Hwan Cl, Dr, Pl, Ter, View / Tai Hwan Ln",7
160104,"Joon Hiang Rd / Recreation Ln, Rd / S'goon Ctrl (Blk 201, 202, 203, 204, 205, 206, 208, 210)",2
160104,"Lor 4 Geylang (Wang Lodge) / Lor 6, 7 Geylang (Centra Residence) / Lor 9 Geylang (Kim Court) / Lor 4, 6, 7, 8, 9, 11, 13 Geylang / Sims Ave",6
160104,"Yishun St 81 (Blk 816, 821, 822, 825, 829, 830, 833, 835, 836) / Yishun St 81 (Orchid Pk Condo)",6
160104,"Lucky Hts, View / Sennett Cl / Upp East Coast Rd (The Summit, The Baycourt)",5
160104,"Bangkit Rd (Blk 257, 259A, 270, 273) / Bangkit Rd (Chestervale)",3
160104,"Shunfu Rd (Blk 309, 310, 311, 313, 315, 316, 317) / Upp Thomson Rd (Thomson Imperial Ct)",2
160104,Beatty Rd / S'goon Rd / Sturdee Rd / Sturdee Rd (Kerrisdale) / Sturdee Rd Nth (Sturdee View),4
160104,"Ang Mo Kio Ave 1 (Kingsgrove) / Tai Hwan Cl, Gr, Hts",6
160104,"S'goon Nth Ave 1 (Blk 107, 114, 153)",5
160104,"Cambridge Rd (Blk 41) / Dorset Rd (Blk 49) / Farrer Pk Rd (Blk 12, 13, 15) / Gloucester Rd (Blk 9) / Owen Rd (Blk 47)",6
160104,"Lor Lew Lian (Blk 2, 7) / S'goon Ctrl (Blk 410, 414, 415, 417, 421, 424)",3
160104,"Woodlands Ind Pk E3, E5, E7, E9",1
160104,Dunbar Walk / Greenfield Dr,2
160104,Lor 3 Geylang / Upp Boon Keng Rd (Blk 39),2
160104,"S'goon Ave 3 (Blk 133) / S'goon Ave 3 (Amaranda Gdns, The Scala, The Springbloom)",3
160104,"Woodlands Ring Rd (Blk 646, 658, 660, 663, 664)",6
160104,"Bedok Nth St 3 (Blk 525, 526, 529, 533)",1
160104,"Bendemeer Rd (Blk 43, 44, 47) / Whampoa South (Blk 49)",2
160104,"Ceylon Rd (Ceylon Residence) / Haig Ave, Ln, Rd / Haig Rd (Dunman View)",1
160104,"Corporation Rise, Walk",4
160104,"Eunos Cres (Blk 1, 10, 31, 35, 36)",2
160104,McNair Rd (Blk 108B) / McNair Rd / Towner Rd,1
160104,Mei Hwan Dr (Goldenhill Pk Condo) / Mei Hwan Dr,3
160104,"New Upp Changi Rd (Blk 52, 55)",3
160104,"Jurong West St 52 (Blk 517, 518)",1
160104,Lor 1 Toa Payoh (Blk 126) / Lor 1A Toa Payoh (Blk 138A) / Lor 2 Toa Payoh (Blk 121) / Lor 3 Toa Payoh (Trevista),1
160104,Lor Chuan (Chuan Pk),1
160104,Petir Rd (Maysprings),3
160104,"Tampines St 82 (Blk 832, 838, 842, 854)",2
160104,"Woodlands St 41 (Blk 414, 424, 429)",3
160104,Admiralty Rd West,1
160104,"Ang Mo Kio Ave 3 (Blk 311, 314, 346)",1
160104,Bedok Nth Ave 1 (Blk 424) / Bedok Nth Ave 2 (Blk 416) / Bedok Nth Rd ( Blk 422),1
160104,Bedok South Rd (Blk 42) / New Upp Changi Rd (Blk 60),1
160104,Boundary Rd / Lim Tua Tow Rd (Casa Cambio),2
160104,Bournemouth Rd,1
