date,locality,cases with onset in laStreet 2 weeks
170103,Petir Road (Blk 204),1
170103,"Hougang Avenue 6 (Blk 422,425, 427, 429,430, 432)",2
170103,"Ang Mo Kio Avenue 10 (Blk 471, 472, 475,476)",2
170103,"Jurong EaStreet Street 24 (Blk 251, 257, 258)",3
170103,Kent Road (Blk 51) / Owen Road (Blk 46) / Rangoon Road,3
170103,"Tampines Street 11 (Blk 101,102)",1
170103,Beach Road (Blk 2),2
170103,Bt Panjang Ring Road (Blk 541) / Senja Road (Blk 603),1
170103,"Hougang Avenue 8 (Blk 435,440)",1
170103,"Serangoon Ctrl Drive (Blk 253, 257)",2
170106,Petir Road (Blk 204),1
170106,"Ang Mo Kio Avenue 10 (Blk 471, 472, 473,475, 476)",3
170106,"Tampines Street 11 (Blk 101, 102,103, 104, 113)",4
170106,Irrawaddy Road,3
170106,"Jurong EaStreet Street 24 (Blk 251,257, 258)",2
170106,Lorong 8 Geylang,1
170106,Beach Road (Blk 2),2
170106,Bt Panjang Ring Road (Blk 541) / Senja Road (Blk 603),1
170106,"Compassvale Walk (Blk 224D, 226C)",2
170106,Haig Road (Blk 5)/ Ipoh Lane (Versilia on Haig),1
170106,"Meragi Cl, Road",1
170106,"Serangoon Ctrl Drive (Blk 253, 257)",1
170106,"Teck Whye Lane (Blk 11, 14)",1
170109,Petir Road (Blk 204),1
170109,"Tampines Street 11 (Blk 101, 102,103, 104, 113)",5
170109,"Ang Mo Kio Avenue 10 (Blk 471, 472, 473,475, 476)",2
170109,Irrawaddy Road,4
170109,Lorong 8 Geylang,1
170109,"Jurong EaStreet Street 24 (Blk 251,257, 258)",1
170109,Beach Road (Blk 2),1
170109,Bt Panjang Ring Road (Blk 541) / Senja Road (Blk 603),1
170109,"Compassvale Walk (Blk 224D, 226C)",2
170109,"Meragi Cl, Road",1
170109,"Teck Whye Lane (Blk 11, 14)",1
170113,"Tampines Street 11 (Blk 101,102, 103, 104,113)",7
170113,Ang Mo Kio Avenue 10 (Blk,3
170113,Irrawaddy Road,3
170113,Cantonment Road (Blk 1F) / Tanjong Pagar Plaza (Blk 5) / Yan Kit Road (The Aries),3
170113,"Tampines Street 82 (Blk 856,856B, 856F) /Tampines Street 83 (Blk 864A)",4
170113,"Hougang Avenue 6 (Blk 527,528)",3
170113,Bedok Road / Jalan Chempaka Puteh,1
170113,Blair Road / Spottiswoode Park Road,2
170113,"Hougang Avenue 2 (Blk 704,711)",2
170113,Hougang Avenue 8 (Blk 467) / Hougang Avenue 10 (Blk 403),1
170113,Jurong EaStreet Street 21 (Blk 238) /Jurong EaStreet Street 24 (Blk 245),2
170113,"Upp Serangoon Cres (Blk 473D, 475A)",2
170116,"Tampines Street 11 (Blk 101,102, 103, 104,113)",2
170116,"Ang Mo Kio Avenue 10 (Blk 412, 471, 472)",3
170116,Irrawaddy Road,4
170116,"Tampines Avenue 4 / Tampines Street 82 (Blk 856, 856B, 856F) /Tampines Street 83 (Blk 864A)",4
170116,Cantonment Road (Blk 1F) / Tanjong Pagar Plaza (Blk 5) / Yan Kit Road (The Aries),2
170116,"Hougang Avenue 6 (Blk 527,528)",3
170116,Serangoon Avenue 4 (Blk 212),3
170116,Blair Road / Spottiswoode Park Road,1
170116,"Hougang Avenue 2 (Blk 704,711)",2
170116,Hougang Avenue 8 (Blk 467) / Hougang Avenue 10 (Blk 403),1
170116,Jurong EaStreet Street 21 (Blk 238) /Jurong EaStreet Street 24 (Blk 245),2
170116,"Upp Serangoon Cres (Blk 473D, 475A)",2
170120,"Tampines Street 11 (Blk 101,102, 103, 104,113)",3
170120,"Ang Mo Kio Avenue 10 (Blk 412, 471, 472)",6
170120,Irrawaddy Road,3
170120,Cantonment Road (Blk 1F) / Tanjong Pagar Plaza (Blk 5) / Yan Kit Road (The Aries),1
170120,"Highland Road, Walk / Kovan Road",3
170120,"Hougang Avenue 6 (Blk 527,528)",2
