date,week,cases with onset in last 2 weeks
140103,1,155
140106,2,127
140110,2,224
140114,3,194
140117,3,211
140120,4,168
140124,4,141
140127,5,117
140128,5,129
140130,5,130
140203,6,105
140204,6,130
140206,6,123
140207,6,110
140210,7,88
140211,7,101
140213,7,115
140214,7,108
140217,8,122
140219,8,140
140221,8,109
140224,9,91
140225,9,68
140228,9,46
140303,10,38
140304,10,57
140306,10,67
140307,10,63
140310,11,68
140313,11,97
140314,11,107
140318,12,139
140319,12,157
140324,13,176
140326,13,193
140328,13,119
140331,14,124
140404,14,136
140407,15,105
140410,15,106
140411,15,111
140414,16,104
140417,16,125
140421,17,98
140422,17,137
140425,17,145
140502,18,119
140506,19,103
140509,19,78
140512,20,65
140516,20,114
140519,21,105
140523,21,196
140526,22,179
140530,22,277
140603,23,216
140606,23,299
140609,24,249
140613,24,319
140616,25,252
140620,25,286
140624,26,308
140627,26,329
140701,27,378
140704,27,460
140707,28,424
140711,28,633
140714,29,671
140718,29,612
140721,30,485
140725,30,515
140729,31,325
140801,31,389
140805,32,341
140808,32,284
140812,33,252
140815,33,264
140819,34,217
140822,34,215
140827,35,166
140829,35,182
140902,36,175
140905,36,148
140908,37,162
140912,37,173
140915,38,153
140919,38,173
140922,39,156
140926,39,190
140929,40,163
141003,40,206
141007,41,135
141010,41,142
141013,42,105
141017,42,138
141020,43,149
141024,43,128
141027,44,114
141031,44,89
141103,45,74
141107,45,79
141110,46,59
141114,46,50
141117,47,47
141121,47,58
141124,48,55
141128,48,44
141201,49,42
141205,49,67
141209,50,70
141212,50,63
141215,51,46
141219,51,71
141222,52,59
141226,52,44
141231,1,61
