date,week,cases with onset in last 2 weeks
190104,1,121
190107,2,129
190111,2,199
190114,3,190
190118,3,223
190121,4,166
190125,4,199
190129,5,191
190403,14,84
190409,15,66
190416,16,103
190423,17,91
190429,18,82
190503,18,121
190510,19,232
190517,20,346
190524,21,371
190527,22,322
190603,23,464
190607,23,367
190614,24,458
190621,25,467
190628,26,574
190702,27,502
190705,27,615
190712,28,777
190716,29,935
190726,30,727
190802,31,729
190808,32,668
190816,33,656
190830,35,573
190906,36,405
190913,37,360
190920,38,329
190927,39,299
191004,40,218
191011,41,204
191018,42,195
191025,43,222
191101,44,279
191108,45,312
191115,46,364
191122,47,418
191129,48,349
191206,49,296
191213,50,248
191220,51,215
191227,52,218
