Year,Week,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks
2014.0,1.0,155.0,155.0
2014.0,2.0,224.0,175.5
2014.0,3.0,211.0,202.5
2014.0,4.0,168.0,154.5
2014.0,5.0,130.0,125.33333333333333
2014.0,6.0,130.0,117.0
2014.0,7.0,115.0,103.0
2014.0,8.0,140.0,123.66666666666667
2014.0,9.0,91.0,68.33333333333333
2014.0,10.0,67.0,56.25
2014.0,11.0,107.0,90.66666666666667
2014.0,12.0,157.0,148.0
2014.0,13.0,193.0,162.66666666666666
2014.0,14.0,136.0,130.0
2014.0,15.0,111.0,107.33333333333333
2014.0,16.0,125.0,114.5
2014.0,17.0,145.0,126.66666666666667
2014.0,18.0,119.0,119.0
2014.0,19.0,103.0,90.5
2014.0,20.0,114.0,89.5
2014.0,21.0,196.0,150.5
2014.0,22.0,277.0,228.0
2014.0,23.0,299.0,257.5
2014.0,24.0,319.0,284.0
2014.0,25.0,286.0,269.0
2014.0,26.0,329.0,318.5
2014.0,27.0,460.0,419.0
2014.0,28.0,633.0,528.5
2014.0,29.0,671.0,641.5
2014.0,30.0,515.0,500.0
2014.0,31.0,389.0,357.0
2014.0,32.0,341.0,312.5
2014.0,33.0,264.0,258.0
2014.0,34.0,217.0,216.0
2014.0,35.0,182.0,174.0
2014.0,36.0,175.0,161.5
2014.0,37.0,173.0,167.5
2014.0,38.0,173.0,163.0
2014.0,39.0,190.0,173.0
2014.0,40.0,206.0,184.5
2014.0,41.0,142.0,138.5
2014.0,42.0,138.0,121.5
2014.0,43.0,149.0,138.5
2014.0,44.0,114.0,101.5
2014.0,45.0,79.0,76.5
2014.0,46.0,59.0,54.5
2014.0,47.0,58.0,52.5
2014.0,48.0,55.0,49.5
2014.0,49.0,67.0,54.5
2014.0,50.0,70.0,66.5
2014.0,51.0,71.0,58.5
2014.0,52.0,61.0,54.666666666666664
2015.0,1.0,54.0,54.0
2015.0,2.0,91.0,89.5
2015.0,3.0,106.0,97.0
2015.0,4.0,96.0,92.5
2015.0,5.0,119.0,94.0
2015.0,6.0,108.0,104.5
2015.0,7.0,86.0,77.0
2015.0,8.0,60.0,60.0
2015.0,9.0,45.0,40.0
2015.0,10.0,55.0,51.5
2015.0,11.0,62.0,50.5
2015.0,12.0,51.0,42.0
2015.0,13.0,42.0,36.0
2015.0,14.0,45.0,43.5
2015.0,15.0,38.0,37.0
2015.0,16.0,35.0,31.0
2015.0,17.0,35.0,30.5
2015.0,18.0,34.0,27.0
2015.0,19.0,57.0,57.0
2015.0,20.0,66.0,59.0
2015.0,21.0,51.0,47.0
2015.0,22.0,68.0,50.5
2015.0,23.0,63.0,61.5
2015.0,24.0,74.0,65.0
2015.0,25.0,59.0,59.0
2015.0,26.0,115.0,101.0
2015.0,27.0,136.0,125.0
2015.0,28.0,132.0,117.0
2015.0,29.0,135.0,122.5
2015.0,30.0,145.0,119.5
2015.0,31.0,153.0,153.0
2015.0,32.0,108.0,108.0
2015.0,33.0,74.0,74.0
2015.0,34.0,69.0,69.0
2015.0,35.0,104.0,104.0
2015.0,36.0,137.0,115.5
2015.0,37.0,137.0,137.0
2015.0,38.0,95.0,95.0
2015.0,40.0,150.0,138.0
2015.0,41.0,163.0,163.0
2015.0,42.0,137.0,137.0
2015.0,44.0,159.0,141.0
2015.0,45.0,125.0,125.0
2015.0,46.0,145.0,145.0
2015.0,47.0,126.0,126.0
2015.0,48.0,101.0,101.0
2015.0,49.0,181.0,161.5
2015.0,51.0,164.0,164.0
2015.0,52.0,224.0,224.0
2015.0,53.0,344.0,272.5
2016.0,1.0,348.0,296.0
2016.0,2.0,458.0,400.0
2016.0,3.0,568.0,504.0
2016.0,4.0,574.0,573.0
2016.0,5.0,496.0,487.5
2016.0,6.0,342.0,340.5
2016.0,7.0,394.0,353.0
2016.0,8.0,459.0,444.0
2016.0,9.0,371.0,352.0
2016.0,10.0,310.0,285.0
2016.0,11.0,299.0,266.0
2016.0,12.0,259.0,254.0
2016.0,13.0,236.0,223.5
2016.0,14.0,245.0,233.5
2016.0,15.0,182.0,177.0
2016.0,16.0,130.0,126.5
2016.0,17.0,167.0,142.5
2016.0,18.0,146.0,142.5
2016.0,19.0,129.0,115.0
2016.0,20.0,178.0,154.0
2016.0,21.0,123.0,121.0
2016.0,22.0,117.0,109.0
2016.0,23.0,117.0,103.0
2016.0,24.0,98.0,95.5
2016.0,25.0,110.0,95.5
2016.0,26.0,138.0,134.5
2016.0,27.0,152.0,134.0
2016.0,28.0,172.0,171.5
2016.0,29.0,125.0,121.5
2016.0,30.0,162.0,144.5
2016.0,31.0,136.0,133.5
2016.0,32.0,117.0,115.0
2016.0,33.0,125.0,115.5
2016.0,34.0,166.0,148.0
2016.0,35.0,176.0,155.0
2016.0,36.0,169.0,162.5
2016.0,37.0,129.0,122.5
2016.0,38.0,112.0,106.5
2016.0,39.0,77.0,71.0
2016.0,40.0,59.0,52.5
2016.0,41.0,52.0,50.0
2016.0,42.0,42.0,42.0
2016.0,43.0,37.0,34.5
2016.0,44.0,28.0,24.5
2016.0,45.0,20.0,18.0
2016.0,46.0,21.0,20.5
2016.0,47.0,17.0,16.5
2016.0,48.0,35.0,24.5
2016.0,49.0,30.0,29.0
2016.0,50.0,27.0,21.0
2016.0,51.0,32.0,25.5
2016.0,52.0,35.0,26.0
2017.0,1.0,23.0,20.5
2017.0,2.0,33.0,26.5
2017.0,3.0,32.0,30.5
2017.0,4.0,43.0,34.0
2017.0,5.0,17.0,15.0
2017.0,6.0,23.0,18.0
2017.0,7.0,19.0,15.0
2017.0,8.0,15.0,13.0
2017.0,9.0,14.0,13.5
2017.0,10.0,10.0,9.0
2017.0,11.0,8.0,4.5
2017.0,12.0,1.0,1.0
2017.0,13.0,0.0,0.0
2017.0,14.0,12.0,10.0
2017.0,15.0,9.0,8.5
2017.0,16.0,7.0,7.0
2017.0,17.0,8.0,7.0
2017.0,18.0,4.0,3.5
2017.0,19.0,10.0,5.5
2017.0,20.0,11.0,10.5
2017.0,21.0,17.0,14.5
2017.0,22.0,22.0,18.0
2017.0,23.0,25.0,24.5
2017.0,24.0,21.0,19.0
2017.0,25.0,31.0,24.5
2017.0,26.0,35.0,31.666666666666668
2017.0,27.0,27.0,24.5
2017.0,28.0,22.0,18.0
2017.0,29.0,17.0,16.5
2017.0,30.0,14.0,14.0
2017.0,31.0,23.0,19.0
2017.0,32.0,28.0,25.5
2017.0,33.0,20.0,20.0
2017.0,34.0,16.0,16.0
2017.0,35.0,23.0,17.0
2017.0,36.0,15.0,14.0
2017.0,37.0,13.0,9.5
2017.0,38.0,11.0,9.0
2017.0,39.0,9.0,6.5
2017.0,40.0,16.0,9.5
2017.0,42.0,18.0,16.333333333333332
2017.0,41.0,21.0,21.0
2017.0,43.0,29.0,29.0
2017.0,44.0,24.0,21.5
2017.0,45.0,15.0,14.0
2017.0,46.0,10.0,10.0
2017.0,47.0,21.0,15.0
2017.0,48.0,11.0,8.0
2017.0,49.0,7.0,5.5
2017.0,50.0,10.0,9.0
2017.0,51.0,20.0,13.5
2017.0,52.0,22.0,22.0
2018.0,1.0,53.0,33.5
2018.0,2.0,56.0,51.0
2018.0,3.0,47.0,42.0
2018.0,4.0,25.0,24.0
2018.0,5.0,20.0,18.0
2018.0,6.0,27.0,22.0
2018.0,7.0,20.0,19.5
2018.0,8.0,9.0,6.0
2018.0,9.0,4.0,3.5
2018.0,10.0,21.0,13.5
2018.0,11.0,14.0,12.5
2018.0,12.0,16.0,14.0
2018.0,13.0,10.0,8.0
2018.0,14.0,22.0,16.0
2018.0,15.0,25.0,24.0
2018.0,16.0,28.0,24.0
2018.0,17.0,39.0,33.0
2018.0,18.0,56.0,45.5
2018.0,19.0,42.0,42.0
2018.0,20.0,29.0,27.0
2018.0,21.0,39.0,28.5
2018.0,22.0,32.0,32.0
2018.0,23.0,28.0,24.5
2018.0,24.0,30.0,25.0
2018.0,25.0,33.0,25.5
2018.0,26.0,27.0,19.5
2018.0,27.0,27.0,24.5
2018.0,28.0,24.0,19.0
2018.0,29.0,16.0,14.5
2018.0,30.0,15.0,11.0
2018.0,31.0,17.0,15.0
2018.0,32.0,24.0,17.5
2018.0,33.0,21.0,19.5
2018.0,34.0,25.0,23.0
2018.0,35.0,40.0,32.5
2018.0,36.0,37.0,32.5
2018.0,37.0,41.0,35.5
2018.0,38.0,30.0,27.0
2018.0,39.0,35.0,31.5
2018.0,40.0,20.0,20.0
2018.0,41.0,21.0,19.0
2018.0,42.0,29.0,26.0
2018.0,43.0,32.0,27.0
2018.0,44.0,45.0,42.0
2018.0,45.0,38.0,38.0
2018.0,46.0,51.0,51.0
2018.0,47.0,65.0,57.5
2018.0,48.0,61.0,57.0
2018.0,49.0,47.0,46.5
2018.0,50.0,53.0,53.0
2018.0,51.0,72.0,59.0
2018.0,52.0,98.0,83.33333333333333
2019.0,1.0,121.0,121.0
2019.0,2.0,199.0,164.0
2019.0,3.0,223.0,206.5
2019.0,4.0,199.0,182.5
2019.0,5.0,191.0,191.0
2019.0,14.0,84.0,84.0
2019.0,15.0,66.0,66.0
2019.0,16.0,103.0,103.0
2019.0,17.0,91.0,91.0
2019.0,18.0,121.0,101.5
2019.0,19.0,232.0,232.0
2019.0,20.0,346.0,346.0
2019.0,21.0,371.0,371.0
2019.0,22.0,322.0,322.0
2019.0,23.0,464.0,415.5
2019.0,24.0,458.0,458.0
2019.0,25.0,467.0,467.0
2019.0,26.0,574.0,574.0
2019.0,27.0,615.0,558.5
2019.0,28.0,777.0,777.0
2019.0,29.0,935.0,935.0
2019.0,30.0,727.0,727.0
2019.0,31.0,729.0,729.0
2019.0,32.0,668.0,668.0
2019.0,33.0,656.0,656.0
2019.0,35.0,573.0,573.0
2019.0,36.0,405.0,405.0
2019.0,37.0,360.0,360.0
2019.0,38.0,329.0,329.0
2019.0,39.0,299.0,299.0
2019.0,40.0,218.0,218.0
2019.0,41.0,204.0,204.0
2019.0,42.0,195.0,195.0
2019.0,43.0,222.0,222.0
2019.0,44.0,279.0,279.0
2019.0,45.0,312.0,312.0
2019.0,46.0,364.0,364.0
2019.0,47.0,418.0,418.0
2019.0,48.0,349.0,349.0
2019.0,49.0,296.0,296.0
2019.0,50.0,248.0,248.0
2019.0,51.0,215.0,215.0
2019.0,52.0,218.0,218.0
