year,month,week,day,address,cases with onset in last 2 weeks
2014,1,1,3,Ava Rd ,31.0
2014,1,1,3,Geylang Rd ,7.0
2014,1,1,3,Bartley Rd ,11.0
2014,1,1,3,Canberra Dr ,5.0
2014,1,1,3,Corporation Rd,6.0
2014,1,1,3,Jln Ketumbit ,4.0
2014,1,1,3,Lor Sarina,5.0
2014,1,1,3,Bishan St 22,3.0
2014,1,1,3,Jln Rajah ,1.0
2014,1,1,3,Tampines St 21,6.0
2014,1,1,3,Charlton Ln ,3.0
2014,1,1,3,Geylang Bahru,3.0
2014,1,1,3,Yishun Ave 5,1.0
2014,1,1,3,Choa Chu KangAve 3 ,4.0
2014,1,1,3,Happy Ave Nth,2.0
2014,1,1,3,Jurong West St73 ,1.0
2014,1,1,3,Lor H TelokKurau,3.0
2014,1,1,3,Pasir Ris St 21,3.0
2014,1,1,3,Yishun Ave 6,3.0
2014,1,1,3,Balestier Rd,2.0
2014,1,1,3,Butterfly Ave ,3.0
2014,1,1,3,Farrer Rd,3.0
2014,1,1,3,Goldhill Ave,3.0
2014,1,1,3,Pasir Ris Dr 6,1.0
2014,1,1,3,Pasir Ris St 21,1.0
2014,1,1,3,Sgn Ave 4 ,1.0
2014,1,1,3,Yishun St 11,2.0
2014,1,1,3,Angsana Ave ,2.0
2014,1,1,3,Bedok Nth Rd,2.0
2014,1,1,3,BedokReservoir Rd,2.0
2014,1,1,3,Elias Rd,2.0
2014,1,1,3,Eng Kong Cres,1.0
2014,1,1,3,Hougang Ave 3,2.0
2014,1,1,3,Jln Pergam ,1.0
2014,1,1,3,Jln Suka ,1.0
2014,1,1,3,Lor 2 ToaPayoh ,2.0
2014,1,1,3,Lor 3 Geylang ,2.0
2014,1,1,3,Mergui Rd,2.0
2014,1,1,3,Pasir Ris St 11,2.0
2014,1,1,3,Rosewood Dr,2.0
2014,1,1,3,Senja Rd ,1.0
2014,1,1,3,Simon Pl,2.0
2014,1,1,3,Tanjong KatongRd,1.0
2014,1,1,3,Teban Gdns Rd,2.0
2014,1,1,3,Telok BlangahRise ,2.0
2014,1,1,3,Toa Payoh Central ,2.0
2014,1,1,3,Whampoa Dr,2.0
2014,1,1,3,Yishun St 81,2.0
2014,1,2,6,Ava Rd ,17.0
2014,1,2,6,Geylang Rd ,8.0
2014,1,2,6,Bartley Rd ,10.0
2014,1,2,6,Canberra Dr ,2.0
2014,1,2,6,Corporation Rd,6.0
2014,1,2,6,Jln Ketumbit ,4.0
2014,1,2,6,Jln Rajah ,3.0
2014,1,2,6,Lor Sarina,4.0
2014,1,2,6,Bishan St 22,2.0
2014,1,2,6,Butterfly Ave ,6.0
2014,1,2,6,Tampines St 21,3.0
2014,1,2,6,Charlton Ln ,2.0
2014,1,2,6,Geylang Bahru,1.0
2014,1,2,6,Yishun Ave 5,1.0
2014,1,2,6,Choa Chu KangAve 3 ,2.0
2014,1,2,6,Happy Ave Nth,1.0
2014,1,2,6,Lor H TelokKurau,2.0
2014,1,2,6,Pasir Ris St 21,3.0
2014,1,2,6,Yishun Ave 6,1.0
2014,1,2,6,Balestier Rd,2.0
2014,1,2,6,Farrer Rd,1.0
2014,1,2,6,Goldhill Ave,3.0
2014,1,2,6,Pasir Ris Dr 6,1.0
2014,1,2,6,Pasir Ris St 21,1.0
2014,1,2,6,Rosewood Dr,2.0
2014,1,2,6,Sgn Ave 4 ,1.0
2014,1,2,6,Sungei KadutSt 2,3.0
2014,1,2,6,Yishun St 11,1.0
2014,1,2,6,Angsana Ave ,2.0
2014,1,2,6,Bedok Nth Rd,2.0
2014,1,2,6,BedokReservoir Rd,2.0
2014,1,2,6,Bt Batok WestAve 2 ,2.0
2014,1,2,6,Eng Kong Cres,1.0
2014,1,2,6,Hougang Ave 3,1.0
2014,1,2,6,Jln Daud ,1.0
2014,1,2,6,Jln Pergam ,1.0
2014,1,2,6,Jln Suka ,1.0
2014,1,2,6,Jurong West St64 ,2.0
2014,1,2,6,Kang Ching Rd,2.0
2014,1,2,6,Lor 3 Geylang ,2.0
2014,1,2,6,Mergui Rd,2.0
2014,1,2,6,Pasir Ris St 11,1.0
2014,1,2,6,Senja Rd ,1.0
2014,1,2,6,Simon Pl,2.0
2014,1,2,6,Tanjong KatongRd,1.0
2014,1,2,6,Teban Gdns Rd,1.0
2014,1,2,6,Telok BlangahRise ,1.0
2014,1,2,6,Toa PayohCentral ,2.0
2014,1,2,6,Whampoa Dr,2.0
2014,1,2,6,Yishun St 81,2.0
2014,1,2,10,Geylang Rd ,16.0
2014,1,2,10,Bartley Rd ,18.0
2014,1,2,10,Corporation Rd,22.0
2014,1,2,10,Canberra Dr ,4.0
2014,1,2,10,Butterfly Ave ,10.0
2014,1,2,10,Jln Kechot ,5.0
2014,1,2,10,Bishan St 22,3.0
2014,1,2,10,Jln Ketumbit ,3.0
2014,1,2,10,Farrer Rd,5.0
2014,1,2,10,Choa Chu KangAve 3 ,4.0
2014,1,2,10,Rosewood Dr,6.0
2014,1,2,10,Tampines St 21,3.0
2014,1,2,10,Geylang Bahru,2.0
2014,1,2,10,Geylang Rd JlnSuka ,5.0
2014,1,2,10,Kang Ching Rd,6.0
2014,1,2,10,Balestier Rd,3.0
2014,1,2,10,Balestier Rd ,5.0
2014,1,2,10,Goldhill Ave,5.0
2014,1,2,10,Happy Ave Nth,1.0
2014,1,2,10,Yishun Ave 5,1.0
2014,1,2,10,Bedok Nth Ave1 ,4.0
2014,1,2,10,Kent Rd ,4.0
2014,1,2,10,"Lor 15, 17Geylang",3.0
2014,1,2,10,Lor H Telok,2.0
2014,1,2,10,Park VillasGreen ,4.0
2014,1,2,10,Sgn Central,4.0
2014,1,2,10,Yishun Ave 4,4.0
2014,1,2,10,BedokReservoir Rd,3.0
2014,1,2,10,Braddell Rd ,3.0
2014,1,2,10,Hougang Ave 6,3.0
2014,1,2,10,Hume Ave,2.0
2014,1,2,10,Jln Daud ,2.0
2014,1,2,10,Kang Choo BinRd ,3.0
2014,1,2,10,Sgn Ave 1 ,3.0
2014,1,2,10,Tampines St 91,3.0
2014,1,2,10,Whampoa Dr,3.0
2014,1,2,10,Yishun Ave 4,3.0
2014,1,2,10,Yishun Ring Rd,2.0
2014,1,2,10,Yishun St 11,1.0
2014,1,2,10,Balestier Rd ,1.0
2014,1,2,10,Bedok Nth Rd,2.0
2014,1,2,10,Bedok Nth Rd,2.0
2014,1,2,10,BedokReservoir Rd,2.0
2014,1,2,10,Boon Lay Ave,2.0
2014,1,2,10,Boon Lay Dr,2.0
2014,1,2,10,Bt Batok WestAve 2 ,2.0
2014,1,2,10,Canberra Rd,2.0
2014,1,2,10,Choa Chu KangCres ,2.0
2014,1,2,10,Clive St ,2.0
2014,1,2,10,Empress Rd,2.0
2014,1,2,10,Jln Tani,2.0
2014,1,2,10,KensingtonPark Dr,1.0
2014,1,2,10,Lengkok Bahru,2.0
2014,1,2,10,Lor 2 ToaPayoh ,1.0
2014,1,2,10,Mei Ling St,2.0
2014,1,2,10,Petir Rd ,1.0
2014,1,2,10,Sims Dr ,2.0
2014,1,2,10,Tampines Ave5 ,2.0
2014,1,2,10,Upp Boon KengRd ,2.0
2014,1,2,10,Woodlands Dr16 ,2.0
2014,1,2,10,Yishun St 22,2.0
2014,1,2,10,Yishun St 81,1.0
2014,1,3,14,Geylang Rd ,11.0
2014,1,3,14,Bartley Rd ,8.0
2014,1,3,14,Corporation Rd,17.0
2014,1,3,14,Canberra Dr ,3.0
2014,1,3,14,Rosewood Dr,13.0
2014,1,3,14,Bishan St 22,7.0
2014,1,3,14,Butterfly Ave ,3.0
2014,1,3,14,Balestier Rd ,9.0
2014,1,3,14,"Eng KongCres, Rd ",6.0
2014,1,3,14,Choa Chu KangAve 3 ,2.0
2014,1,3,14,Farrer Rd,3.0
2014,1,3,14,Charlton Ln,8.0
2014,1,3,14,Geylang Bahru,2.0
2014,1,3,14,Geylang Rd JlnSuka ,6.0
2014,1,3,14,Joo Seng Rd ,8.0
2014,1,3,14,Kang Ching Rd,1.0
2014,1,3,14,Balestier Rd,1.0
2014,1,3,14,Goldhill Ave,4.0
2014,1,3,14,Jln Eunos ,5.0
2014,1,3,14,Kent Rd ,3.0
