Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks
2014,1,Changi,20,20.0,20
2014,1,Ang Mo Kio,87,87.0,87
2014,1,Khatib,20,20.0,20
2014,1,Tuas South,7,7.0,7
2014,1,Marina Barrage,21,21.0,21
2014,2,Changi,21,17.5,14
2014,2,Ang Mo Kio,91,79.5,68
2014,2,Khatib,35,25.0,15
2014,2,Tuas South,34,22.0,10
2014,2,Marina Barrage,43,31.5,20
2014,3,Changi,11,10.0,9
2014,3,Ang Mo Kio,95,91.5,88
2014,3,Khatib,41,37.5,34
2014,3,Tuas South,26,26.0,26
2014,3,Marina Barrage,40,37.5,35
2014,4,Changi,12,9.5,7
2014,4,Ang Mo Kio,69,69.0,69
2014,4,Khatib,40,33.0,26
2014,4,Tuas South,14,13.5,13
2014,4,Marina Barrage,38,29.5,21
2014,5,Changi,15,10.333333333333334,7
2014,5,Ang Mo Kio,57,54.666666666666664,50
2014,5,Khatib,27,23.333333333333332,19
2014,5,Tuas South,8,7.0,6
2014,5,Marina Barrage,34,30.0,24
2014,6,Changi,14,11.25,10
2014,6,Ang Mo Kio,50,46.75,37
2014,6,Khatib,32,26.75,22
2014,6,Tuas South,5,4.5,4
2014,6,Marina Barrage,30,27.75,23
2014,7,Changi,10,4.25,2
2014,7,Ang Mo Kio,72,60.0,45
2014,7,Khatib,16,11.0,7
2014,7,Tuas South,15,11.0,6
2014,7,Marina Barrage,23,16.75,11
2014,8,Changi,1,0.3333333333333333,0
2014,8,Ang Mo Kio,89,74.0,60
2014,8,Khatib,14,10.333333333333334,7
2014,8,Tuas South,12,11.333333333333334,11
2014,8,Marina Barrage,30,27.666666666666668,24
2014,9,Changi,0,0.0,0
2014,9,Ang Mo Kio,51,45.666666666666664,36
2014,9,Khatib,10,7.333333333333333,6
2014,9,Tuas South,9,5.333333333333333,1
2014,9,Marina Barrage,21,10.0,3
2014,10,Changi,9,4.5,0
2014,10,Ang Mo Kio,38,32.5,27
2014,10,Khatib,5,3.5,2
2014,10,Tuas South,4,2.5,1
2014,10,Marina Barrage,16,13.0,7
2014,11,Changi,17,13.666666666666666,10
2014,11,Ang Mo Kio,70,58.0,40
2014,11,Khatib,7,5.333333333333333,3
2014,11,Tuas South,5,3.3333333333333335,1
2014,11,Marina Barrage,14,10.333333333333334,8
2014,12,Changi,26,22.0,18
2014,12,Ang Mo Kio,116,106.0,96
2014,12,Khatib,7,5.0,3
2014,12,Tuas South,6,5.0,4
2014,12,Marina Barrage,12,10.0,8
2014,13,Changi,32,25.666666666666668,15
2014,13,Ang Mo Kio,136,110.33333333333333,72
2014,13,Khatib,10,8.666666666666666,7
2014,13,Tuas South,0,0.0,0
2014,13,Marina Barrage,23,18.0,15
2014,14,Changi,9,5.5,2
2014,14,Ang Mo Kio,96,85.5,75
2014,14,Khatib,9,6.0,3
2014,14,Tuas South,3,1.5,0
2014,14,Marina Barrage,32,31.5,31
2014,15,Changi,5,3.6666666666666665,3
2014,15,Ang Mo Kio,87,81.0,76
2014,15,Khatib,2,2.0,2
2014,15,Tuas South,4,3.0,2
2014,15,Marina Barrage,22,17.666666666666668,15
2014,16,Changi,4,3.0,2
2014,16,Ang Mo Kio,115,100.0,85
2014,16,Khatib,3,1.5,0
2014,16,Tuas South,5,2.5,0
2014,16,Marina Barrage,9,7.5,6
2014,17,Changi,4,3.0,2
2014,17,Ang Mo Kio,128,113.66666666666667,90
2014,17,Khatib,0,0.0,0
2014,17,Tuas South,2,0.6666666666666666,0
2014,17,Marina Barrage,17,9.333333333333334,4
2014,18,Changi,0,0.0,0
2014,18,Ang Mo Kio,100,100.0,100
2014,18,Khatib,0,0.0,0
2014,18,Tuas South,3,3.0,3
