S/N,Cases with onset in last 2weeks
170103,1
170103,2
170103,2
170103,3
170103,3
170103,1
170103,2
170103,1
170103,1
170103,2
170106,1
170106,3
170106,4
170106,3
170106,2
170106,1
170106,2
170106,1
170106,2
170106,1
170106,1
170106,1
170106,1
170109,1
170109,5
170109,2
170109,4
170109,1
170109,1
170109,1
170109,1
170109,2
170109,1
170109,1
170113,7
170113,3
170113,3
170113,3
170113,4
170113,3
170113,1
170113,2
170113,2
170113,1
170113,2
170113,2
170116,2
170116,3
170116,4
170116,4
170116,2
170116,3
170116,3
170116,1
170116,2
170116,1
170116,2
170116,2
170120,3
170120,6
170120,3
170120,1
170120,3
170120,2
170120,3
170120,2
170120,2
170120,1
170120,1
170120,1
170120,1
170120,1
170120,1
170120,1
170123,2
170123,2
170123,2
170123,1
170123,3
170123,1
170123,3
170123,2
170123,1
170123,1
170123,1
170123,1
170123,1
170123,1
170123,1
170127,3
170127,2
170127,2
170127,4
170127,4
170127,3
170127,1
170127,2
170127,1
170127,1
170127,1
170127,1
170131,1
170131,1
170131,3
170131,1
170131,3
170131,1
170131,1
170131,2
170131,1
170131,1
170131,1
170131,1
170203,1
170203,2
170203,1
170203,2
170203,2
170203,2
170203,1
170203,2
170206,1
170206,2
170206,1
170206,3
170206,2
170206,2
170206,1
170206,1
170210,2
170210,6
170210,1
170210,1
170210,3
170210,1
170210,1
170210,2
170210,1
170210,2
170210,1
170210,2
170213,2
170213,2
170213,1
170213,3
170213,1
170213,1
170213,1
170213,1
170213,1
170213,1
170213,2
170213,1
170213,2
170217,3
170217,1
170217,1
170217,1
170217,1
170217,1
170217,2
170217,1
170220,1
170220,1
170220,1
170220,1
170220,1
170220,1
170220,2
170220,2
170220,1
170224,1
170224,2
170224,3
170224,1
170224,3
170224,2
170224,2
170224,1
170227,1
170227,1
170227,1
170227,1
170227,3
170227,2
170227,2
170227,1
170227,1
170303,3
170303,2
170303,4
170303,1
170303,2
170303,2
170307,3
170307,1
170307,4
170307,2
170310,3
170310,1
170310,2
170310,2
170313,3
170313,1
170313,2
170313,2
170317,1
170320,1
170324,1
170327,0
170331,0
170403,5
170403,3
170407,4
170407,2
170407,2
170407,2
170407,2
170410,3
170410,1
170410,1
170410,2
170410,1
170413,2
170413,1
170413,2
170413,2
170413,2
170417,2
170417,1
170417,1
170417,1
170417,2
170421,2
170421,2
170421,2
170421,1
170424,1
170424,4
170424,2
170424,1
170428,2
170428,1
170428,2
170428,1
170502,1
170502,1
170502,2
170505,3
170508,1
170512,2
170512,2
170512,2
170512,2
170512,2
170515,2
170515,2
170515,2
170515,2
170515,2
170519,4
170519,1
170519,3
170519,1
170519,1
170519,1
170522,3
170522,2
170522,1
170522,1
170522,1
170522,2
170522,2
170526,8
170526,1
170526,2
170526,2
170526,1
170526,1
170526,1
170529,8
170529,1
170529,2
170529,1
170529,1
170529,1
170526,1
170602,4
170602,6
170602,4
170602,3
170602,2
170602,1
170602,1
170602,1
170605,3
170605,10
170605,3
170605,4
170605,2
170605,1
170605,1
170605,1
170609,12
170609,3
170609,2
170609,1
170609,1
170609,1
170609,1
170609,2
170609,1
170612,7
170612,2
170612,3
170612,1
170612,1
170612,1
170612,1
170612,1
170616,4
170616,3
170616,3
170616,4
170616,2
170616,2
170616,2
170616,1
170619,7
170619,2
170619,2
170619,3
170619,3
170619,1
170623,11
170623,1
170623,2
170623,4
170623,1
170623,3
170623,1
170623,2
170623,2
170623,2
170623,2
170627,12
170627,6
170627,1
170627,2
170627,3
170627,1
170627,2
170627,2
170627,2
170627,2
170627,2
170628,4
170628,4
170628,2
170628,4
170628,2
170628,3
170628,3
170628,2
170628,1
170628,2
170628,2
170628,2
170630,2
170630,2
170630,2
170630,3
170630,2
170630,1
170630,2
170630,2
170630,2
170630,1
170630,1
170630,1
170630,2
170630,2
170630,2
170630,2
170703,2
170703,3
170703,2
170703,3
170703,2
170703,1
170703,2
170703,1
170703,2
170703,2
170703,1
170703,1
170703,1
170703,2
170703,2
170707,1
170707,4
170707,1
170707,1
170707,2
170707,3
170707,2
170707,2
170707,1
170707,2
170707,1
170707,2
170710,4
170710,1
170710,1
170710,2
170710,1
170710,2
170710,1
170710,2
170714,8
170714,6
170714,2
170714,1
170714,1
170714,1
170714,2
170714,1
170717,6
170717,6
170717,2
170717,1
170717,1
170717,1
170721,4
170721,4
170721,1
170721,2
170721,2
170721,2
170721,1
170724,3
170724,2
170724,2
170724,2
170724,2
170724,2
170724,1
170728,2
170728,4
170728,2
170728,3
170728,1
170728,1
170728,1
170731,1
170731,4
170731,1
170731,3
170731,2
170731,1
170731,2
170731,1
170804,9
170804,2
170804,4
170804,2
170804,2
170804,2
170804,2
170810,9
170810,3
170810,3
170810,3
170810,2
170810,2
170810,1
170811,10
170811,2
170811,5
170811,2
170811,3
170811,3
170811,2
170811,1
170814,9
170814,1
170814,3
170814,2
170814,2
170814,2
170814,1
170818,5
170818,4
170818,3
170818,3
170818,1
170818,2
170818,2
170821,4
170821,4
170821,1
170821,1
170821,2
170821,1
170821,1
170821,2
170828,4
170828,4
170828,1
170828,2
170829,4
170829,3
170829,2
170829,6
170829,1
170829,4
170829,2
170829,1
170904,5
170904,1
170904,2
170904,1
170904,1
170904,2
170904,1
170908,4
170908,1
170908,1
170908,1
170908,2
170908,2
170908,2
170908,2
170911,3
170911,1
170911,1
170911,2
170911,2
170911,2
170911,2
170915,2
170915,1
170915,2
170915,1
170918,1
170918,1
170918,2
170918,1
170918,2
170922,1
170922,3
170922,2
170922,1
170922,2
170922,1
170922,1
170925,1
170925,3
170925,2
170925,1
170925,1
170925,1
170929,1
170929,1
170929,1
170929,1
171002,2
171002,1
171006,7
171006,3
171006,1
171006,1
171006,1
171006,2
171006,1
171019,7
171019,3
171019,1
171019,1
171019,1
171019,2
171019,1
171013,9
171013,3
171013,4
171013,2
171013,2
171013,1
171016,8
171016,2
171016,4
171016,2
171016,2
171020,11
171020,2
171020,2
170123,12
170123,2
170123,1
170123,2
170123,1
170123,2
171027,11
171027,2
171027,2
171027,2
171027,1
171027,1
171027,2
171027,2
171027,2
171027,2
171027,2
171030,8
171030,1
171030,2
171030,2
171030,1
171030,1
171030,1
171030,2
171030,2
171030,2
171030,2
171103,5
171103,3
171103,1
171103,2
171103,2
171103,2
171103,2
171103,1
171103,1
171106,5
171106,1
171106,1
171106,1
171106,2
171106,1
171106,1
171106,1
171110,7
171110,4
171110,1
171110,2
171110,1
171114,3
171114,2
171114,2
171114,1
171114,1
171114,1
171117,4
171117,2
171117,2
171117,1
171117,1
171120,4
171120,1
171120,2
171120,1
171120,1
171124,6
171124,2
171124,2
171124,2
171124,2
171124,2
171124,2
171124,1
171124,2
171127,2
171127,1
171127,2
171127,2
171127,2
171127,1
171127,1
171201,1
171201,2
171201,1
171201,1
171204,1
171204,1
171204,1
171204,1
171208,3
171208,2
171208,2
171211,4
171211,2
171211,2
171215,3
171215,2
171215,3
171215,2
171218,1
171218,2
171218,3
171218,1
171222,1
171222,3
171222,4
171222,1
171222,2
171222,3
171222,2
171222,2
171222,2
171226,1
171226,3
171226,4
171226,3
171226,1
171226,2
171226,2
171226,2
171226,2
171226,2
