date,locality,cases with onset in last 2 weeks,Locality
140103.0,"Ava Rd /Balestier Rd /Boon Teck Rd /Jln Ampas / JlnKemaman /Kim Keat Cl,Ln, Rd / LorAmpas / LorLimau (Blk 76,77) / Lor Limau/ Mandalay Rd/ Minbu Rd /Pegu Rd /Prome Rd /Whampoa Dr(Blk 82)",31.0,
140103.0,"Geylang Rd /Guillemard Rd /Lor 4, 6, 8, 14,16, 18, 20Geylang",7.0,
140103.0,"Bartley Rd /Eden Grove /Jln Labu Ayer /Jln Labu Manis/ Jln LabuMerah /Serangoon Ave1 (Blk 401,402, 403) /Sunshine Ter /Upp Sgn Rd",11.0,
140103.0,"Canberra Dr /Yishun Ave 7(Blk 170, 171,172, 173, 174,175) / YishunRing Rd (Blk165, 166, 167) /Yishun St 11(Blk 122, 125,128, 130)",5.0,
140103.0,Corporation Rd/ Lakeside Dr,6.0,
140103.0,Jln Ketumbit /Jln Sindor /Seletar Hills Dr,4.0,
140103.0,Lor Sarina,5.0,
140103.0,"Bishan St 22(Blk 238, 246,249, 251, 254)",3.0,
140103.0,"Jln Rajah (Blk103, 104, 105)",1.0,
140103.0,"Tampines St 21(Blk 255, 262,263, 265)",6.0,
140103.0,Charlton Ln /Surin Ave,3.0,
140103.0,"Geylang Bahru(Blk 55, 57, 68,97) / KallangBahru (Blk 63)",3.0,
140103.0,"Yishun Ave 5(Blk 740) /Yishun Ring Rd(Blk 136, 138) /Yishun St11 (Blk 132,145)",1.0,
140103.0,Choa Chu KangAve 3 (Blk 411)/ Choa ChuKang Ave 4(Blk 427),4.0,
140103.0,Happy Ave Nth/ Jln Mawar /Macpherson Rd,2.0,
140103.0,"Jurong West St73 (Blk 732,743, 748, 750)",1.0,
140103.0,Lor H TelokKurau,3.0,
140103.0,"Pasir Ris St 21(Blk 203, 211,215)",3.0,
140103.0,"Yishun Ave 6(Blk 393) /Yishun Ring Rd(Blk 360, 395,398)",3.0,
140103.0,Balestier Rd(near JlnDusun) / JlnRaja Udang,2.0,
140103.0,Butterfly Ave /Cedar Ave,3.0,
140103.0,Farrer Rd,3.0,
140103.0,Goldhill Ave,3.0,
140103.0,"Pasir Ris Dr 6(Blk 405, 414)",1.0,
140103.0,"Pasir Ris St 21(Blk 219, 221)",1.0,
140103.0,"Sgn Ave 4 (Blk215, 216)",1.0,
140103.0,"Yishun St 11(Blk 152, 153,154)",2.0,
140103.0,Angsana Ave /Lichi Ave,2.0,
140103.0,"Bedok Nth Rd(Blk 705, 707)",2.0,
140103.0,BedokReservoir Rd,2.0,
140103.0,Elias Rd,2.0,
140103.0,Eng Kong Cres/ Toh Yi Dr,1.0,
140103.0,Hougang Ave 3(Blk 247) / JlnHock Chye,2.0,
140103.0,Jln Pergam /Upp Changi RdEast,1.0,
140103.0,Jln Suka / Lor24 Geylang,1.0,
140103.0,Lor 2 ToaPayoh (Blk116),2.0,
140103.0,Lor 3 Geylang /Upp Boon KengRd (Blk 39),2.0,
140103.0,Mergui Rd,2.0,
140103.0,"Pasir Ris St 11(Blk 185, 186)",2.0,
140103.0,Rosewood Dr,2.0,
140103.0,"Senja Rd (Blk622, 631)",1.0,
140103.0,Simon Pl,2.0,
140103.0,Tanjong KatongRd,1.0,
140103.0,Teban Gdns Rd,2.0,
140103.0,Telok BlangahRise (Blk 39),2.0,
140103.0,Toa Payoh Central (Blk79A),2.0,
140103.0,"Whampoa Dr(Blk 95, 97)",2.0,
140103.0,"Yishun St 81(Blk 841, 874)",2.0,
140106.0,"Ava Rd /Balestier Rd /Boon Teck Rd /Jln Ampas / JlnKemaman /Kim Keat Cl,Ln, Rd / LorAmpas / LorLimau (Blk 76,77) / Lor Limau/ Mandalay Rd/ Minbu Rd /Pegu Rd /Prome Rd /Whampoa Dr(Blk 82)",17.0,
140106.0,"Geylang Rd /Guillemard Rd /Lor 4, 6, 8, 14,16, 18, 20Geylang",8.0,
140106.0,"Bartley Rd /Eden Grove /Jln Labu Ayer /Jln Labu Manis/ Jln LabuMerah /Serangoon Ave1 (Blk 401,402, 403) /Sunshine Ter /Upp Sgn Rd",10.0,
140106.0,"Canberra Dr /Yishun Ave 7(Blk 170, 171,172, 173, 174,175) / YishunRing Rd (Blk165, 166, 167) /Yishun St 11(Blk 122, 125,128, 130)",2.0,
140106.0,Corporation Rd/ Lakeside Dr,6.0,
140106.0,Jln Ketumbit /Jln Sindor /Seletar Hills Dr,4.0,
140106.0,"Jln Rajah (Blk103, 104, 105,108) /Whampoa Rd(Blk 110)",3.0,
140106.0,Lor Sarina,4.0,
140106.0,"Bishan St 22(Blk 238, 246,249, 251, 254)",2.0,
140106.0,Butterfly Ave /Cedar Ave /Willow Ave,6.0,
140106.0,"Tampines St 21(Blk 255, 262,263, 265)",3.0,
140106.0,Charlton Ln /Surin Ave,2.0,
140106.0,"Geylang Bahru(Blk 55, 57, 68,97) / KallangBahru (Blk 63)",1.0,
140106.0,"Yishun Ave 5(Blk 740) /Yishun Ring Rd(Blk 136, 138) /Yishun St11 (Blk 132,145)",1.0,
140106.0,Choa Chu KangAve 3 (Blk 411)/ Choa ChuKang Ave 4(Blk 427),2.0,
140106.0,Happy Ave Nth/ Jln Mawar /Macpherson Rd,1.0,
140106.0,Lor H TelokKurau,2.0,
140106.0,"Pasir Ris St 21(Blk 203, 211,215)",3.0,
140106.0,"Yishun Ave 6(Blk 393) /Yishun Ring Rd(Blk 360, 395,398)",1.0,
140106.0,Balestier Rd(near JlnDusun) / JlnRaja Udang,2.0,
140106.0,Farrer Rd,1.0,
140106.0,Goldhill Ave,3.0,
140106.0,"Pasir Ris Dr 6(Blk 405, 414)",1.0,
140106.0,"Pasir Ris St 21(Blk 219, 221)",1.0,
140106.0,Rosewood Dr,2.0,
140106.0,"Sgn Ave 4 (Blk215, 216)",1.0,
140106.0,Sungei KadutSt 2,3.0,
140106.0,"Yishun St 11(Blk 152, 153,154)",1.0,
140106.0,Angsana Ave /Lichi Ave,2.0,
140106.0,"Bedok Nth Rd(Blk 705, 707)",2.0,
140106.0,BedokReservoir Rd,2.0,
140106.0,"Bt Batok WestAve 2 (Blk 421,425)",2.0,
140106.0,Eng Kong Cres/ Toh Yi Dr,1.0,
140106.0,Hougang Ave 3(Blk 247) / JlnHock Chye,1.0,
140106.0,Jln Daud /Lengkong Tiga,1.0,
140106.0,Jln Pergam /Upp Changi RdEast,1.0,
140106.0,Jln Suka / Lor24 Geylang,1.0,
140106.0,"Jurong West St64 (Blk 660A,660B)",2.0,
140106.0,"Kang Ching Rd(Blk 346, 353)",2.0,
140106.0,Lor 3 Geylang /Upp Boon KengRd (Blk 39),2.0,
140106.0,Mergui Rd,2.0,
140106.0,"Pasir Ris St 11(Blk 185, 186)",1.0,
140106.0,"Senja Rd (Blk622, 631)",1.0,
140106.0,Simon Pl,2.0,
140106.0,Tanjong KatongRd,1.0,
140106.0,Teban Gdns Rd,1.0,
140106.0,Telok BlangahRise (Blk 39),1.0,
140106.0,Toa PayohCentral (Blk79A),2.0,
140106.0,"Whampoa Dr(Blk 95, 97)",2.0,
140106.0,"Yishun St 81(Blk 841, 874)",2.0,
140110.0,"Geylang Rd /Guillemard Rd /Lor 4, 6, 8, 14,16, 18, 20Geylang",16.0,
140110.0,"Bartley Rd /Eden Grove /Jln Labu Ayer /Jln Labu Manis/ Jln LabuMerah / LorGambir /Serangoon Ave1 (Blk 401,402, 403) /Sunshine Ter /Upp Sgn Rd",18.0,
140110.0,Corporation Rd/ Lakeside Dr,22.0,
140110.0,"Canberra Dr /Yishun Ave 7(Blk 170, 171,172, 173, 174,175) / YishunRing Rd (Blk165, 166, 167) /Yishun St 11(Blk 122, 125,128, 130)",4.0,
140110.0,Butterfly Ave /Cedar Ave /Willow Ave,10.0,
140110.0,Jln Kechot / JlnYasin / LorSarina,5.0,
140110.0,"Bishan St 22(Blk 238, 246,247, 248, 249,251, 254)",3.0,
140110.0,Jln Ketumbit /Jln Sindor /Seletar Hills Dr,3.0,
140110.0,Farrer Rd,5.0,
140110.0,"Choa Chu KangAve 3 (Blk 280,283, 411) /Choa Chu KangAve 4 (Blk 427)",4.0,
140110.0,Rosewood Dr,6.0,
140110.0,"Tampines St 21(Blk 255, 262,263, 265, 266)",3.0,
140110.0,"Geylang Bahru(Blk 55, 57, 61,68, 97) /Kallang Bahru(Blk 63)",2.0,
140110.0,"Geylang Rd JlnSuka / Lor 24,24A, 26, 28Geylang",5.0,
140110.0,"Kang Ching Rd(Blk 346, 347,353) /CorporationWalk",6.0,
140110.0,Balestier Rd(Blk 2) /Balestier Rd(near JlnDusun) / JlnRaja Udang,3.0,
140110.0,Balestier Rd /Jln Ampas /Kim Keat Rd,5.0,
140110.0,Goldhill Ave,5.0,
140110.0,Happy Ave Nth/ Jln Anggerek /Jln Mawar /Macpherson Rd,1.0,
140110.0,"Yishun Ave 5(Blk 740) /Yishun Ring Rd(Blk 136, 138) / Yishun St11 (Blk 132,145)",1.0,
140110.0,"Bedok Nth Ave1 (Blk 552) /Bedok Nth Ave2 (Blk 513) /Bedok Nth St 3(Blk 509B, 523)",4.0,
140110.0,Kent Rd (Blk52) / Mergui Rd,4.0,
140110.0,"Lor 15, 17Geylang",3.0,
140110.0,Lor H Telok,2.0,
140110.0,Park VillasGreen / ParryTer / Poh HuatRd West,4.0,
140110.0,"Sgn Central(Blk 201, 202,203)",4.0,
140110.0,"Yishun Ave 4(Blk 657) /Yishun St 61(Blk 640, 645)",4.0,
140110.0,"BedokReservoir Rd(Blk 101, 108,109)",3.0,
140110.0,Braddell Rd /SommervilleWalk,3.0,
140110.0,"Hougang Ave 6(Blk 521, 523)",3.0,
140110.0,Hume Ave,2.0,
140110.0,Jln Daud /LengkongEmpat /Lengkong Tiga,2.0,
140110.0,Kang Choo BinRd / Simon Pl,3.0,
140110.0,Sgn Ave 1 (Blk425) / SgnCentral (Blk421),3.0,
140110.0,"Tampines St 91(Blk 914, 915,921)",3.0,
140110.0,"Whampoa Dr(Blk 95, 97, 98)",3.0,
140110.0,"Yishun Ave 4(Blk 858, 863) /Yishun St 61(Blk 627)",3.0,
140110.0,"Yishun Ring Rd(Blk 356, 413)",2.0,
140110.0,"Yishun St 11(Blk 152, 153,154)",1.0,
140110.0,Balestier Rd /Race CourseRd,1.0,
140110.0,Bedok Nth Rd(Blk 124) /Bedok Nth St 2(Blk 120),2.0,
140110.0,"Bedok Nth Rd(Blk 705, 707)",2.0,
140110.0,BedokReservoir Rd,2.0,
140110.0,"Boon Lay Ave(Blk 185, 187)",2.0,
140110.0,"Boon Lay Dr(Blk 198, 206)",2.0,
140110.0,"Bt Batok WestAve 2 (Blk 421,425)",2.0,
140110.0,Canberra Rd(Blk 302) /Sembawang Dr(Blk 313),2.0,
140110.0,Choa Chu KangCres (Blk 678) /Choa Chu KangSt 62 (Blk 613),2.0,
140110.0,Clive St / Sgn Rd,2.0,
140110.0,Empress Rd(Blk 8),2.0,
140110.0,Jln Tani,2.0,
140110.0,KensingtonPark Dr,1.0,
140110.0,"Lengkok Bahru(Blk 55, 58)",2.0,
140110.0,"Lor 2 ToaPayoh (Blk116, 122)",1.0,
140110.0,Mei Ling St(Blk 160),2.0,
140110.0,"Petir Rd (Blk217, 219)",1.0,
140110.0,"Sims Dr (Blk41, 43)",2.0,
140110.0,"Tampines Ave5 (Blk 859A,861)",2.0,
140110.0,"Upp Boon KengRd (Blk 15, 16)",2.0,
140110.0,Woodlands Dr16 (Blk 578) /Woodlands Dr53 (Blk 554),2.0,
140110.0,Yishun St 22(Blk 279),2.0,
140110.0,"Yishun St 81(Blk 841, 874)",1.0,
140114.0,"Geylang Rd /Guillemard Rd /Lor 4, 6, 8, 14,16, 18, 20Geylang",11.0,
140114.0,"Bartley Rd /Eden Grove /Jln Labu Ayer /Jln Labu Manis/ Jln LabuMerah / LorGambir /Serangoon Ave1 (Blk 401,402, 403, 407) /Sunshine Ter /Upp Sgn Rd",8.0,
140114.0,Corporation Rd/ Lakeside Dr,17.0,
140114.0,"Canberra Dr /Yishun Ave 7(Blk 170, 171,172, 173, 174,175) / YishunRing Rd (Blk165, 166, 167) /Yishun St 11(Blk 122, 125,128, 130)",3.0,
140114.0,Rosewood Dr,13.0,
140114.0,"Bishan St 22(Blk 238, 246,247, 248, 249,251, 253, 254,255)",7.0,
140114.0,Butterfly Ave /Cedar Ave /Willow Ave,3.0,
140114.0,Balestier Rd /Boon Teck Rd /Jln Ampas / JlnRajah / KimKeat Rd,9.0,
140114.0,"Eng KongCres, Rd / LorKismis",6.0,
140114.0,"Choa Chu KangAve 3 (Blk 280,283, 411) /Choa Chu KangAve 4 (Blk 427,428)",2.0,
140114.0,Farrer Rd,3.0,
140114.0,Charlton Ln,8.0,
140114.0,"Geylang Bahru(Blk 55, 57, 61,68, 95, 97) /Kallang Bahru(Blk 63, 66)",2.0,
140114.0,"Geylang Rd JlnSuka / Lor 24,24A, 26, 28Geylang",6.0,
140114.0,Joo Seng Rd /Vernon Pk,8.0,
140114.0,"Kang Ching Rd(Blk 346, 347,353) /CorporationRise, Walk",1.0,
140114.0,Balestier Rd(Blk 2) /Balestier Rd(near JlnDusun) / JlnRaja Udang,1.0,
140114.0,Goldhill Ave,4.0,
140114.0,Jln Eunos /KampongEunos,5.0,
140114.0,Kent Rd (Blk52) / Mergui Rd,3.0,
140114.0,"Bedok Nth Ave1 (Blk 552) /Bedok Nth Ave2 (Blk 513) /Bedok Nth St 3(Blk 509B, 523)",2.0,
140114.0,"Lor 15, 17Geylang",2.0,
140114.0,Park VillasGreen / ParryTer / Poh HuatRd West,3.0,
140114.0,"Sgn Central(Blk 201, 202,203)",2.0,
140114.0,"Whampoa Dr(Blk 95, 97, 98,104",2.0,
140114.0,"Yishun Ave 4(Blk 657) /Yishun St 61(Blk 640, 645)",3.0,
140114.0,"BedokReservoir Rd(Blk 101, 108,109)",1.0,
140114.0,Braddell Rd /SommervilleWalk,3.0,
140114.0,"Hougang Ave 6(Blk 521, 523)",2.0,
140114.0,Hume Ave,2.0,
140114.0,Jln Daud /LengkongEmpat /Lengkong Tiga,1.0,
140114.0,"Lor 7, 9Geylang / LorTahar",2.0,
140114.0,"Tampines St 41(Blk 432, 434)",3.0,
140114.0,"Tampines St 91(Blk 914, 915,921)",2.0,
140114.0,"Yishun Ave 4(Blk 858, 863) /Yishun St 61(Blk 627)",1.0,
140114.0,"Boon Lay Dr(Blk 198, 206)",2.0,
140114.0,"Bt Batok WestAve 2 (Blk 421,425)",1.0,
140114.0,Canberra Rd(Blk 302) /Sembawang Dr(Blk 313),1.0,
140114.0,Cardiff Grove /CarisbrokeGrove,2.0,
140114.0,Choa Chu KangAve 4 (Blk 457),1.0,
140114.0,Choa Chu KangCres (Blk 678) /Choa Chu KangSt 62 (Blk 613),2.0,
140114.0,"Choa Chu KangSt 62 (Blk 625,627)",2.0,
140114.0,Clive St / SgnRd,2.0,
