Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2014,1,Ang Mo Kio,87,87.0,87,8.8,0.0,3.4800000000000004,8.6,8.8,8.8,26.160000000000004,30.9,23.3,6.38,32.0
2014,2,Ang Mo Kio,91,79.5,68,40.0,0.0,7.0285714285714285,8.4,9.4,13.8,26.157142857142855,31.8,23.3,5.6571428571428575,35.6
2014,3,Ang Mo Kio,95,91.5,88,0.0,0.0,0.0,0.0,0.0,0.0,25.74285714285714,29.4,23.3,9.328571428571427,41.4
2014,4,Ang Mo Kio,69,69.0,69,0.0,0.0,0.0,0.0,0.0,0.0,25.342857142857138,29.3,22.5,9.157142857142857,38.9
2014,5,Ang Mo Kio,57,54.66666666666666,50,0.0,0.0,0.0,0.0,0.0,0.0,25.728571428571428,31.6,22.2,8.9,40.7
2014,6,Ang Mo Kio,50,46.75,37,8.4,0.0,1.2,5.2,5.4,8.2,26.3,32.5,22.8,6.914285714285716,31.0
2014,7,Ang Mo Kio,72,60.0,45,0.0,0.0,0.0,0.0,0.0,0.0,27.314285714285717,33.3,24.1,8.328571428571427,39.6
2014,8,Ang Mo Kio,89,74.0,60,0.0,0.0,0.0,0.0,0.0,0.0,27.214285714285715,32.6,24.2,9.257142857142854,43.2
2014,9,Ang Mo Kio,51,45.66666666666666,36,0.0,0.0,0.0,0.0,0.0,0.0,27.066666666666666,33.6,23.5,8.8,41.0
2014,10,Ang Mo Kio,38,32.5,27,0.0,0.0,0.0,0.0,0.0,0.0,27.41428571428571,34.1,23.7,7.814285714285715,37.1
2014,11,Ang Mo Kio,70,58.0,40,43.4,0.0,6.2,14.4,16.0,16.0,27.557142857142853,34.7,23.9,7.942857142857143,38.5
2014,12,Ang Mo Kio,116,106.0,96,11.2,0.0,3.7142857142857135,10.8,10.8,10.8,26.82857142857143,32.8,23.8,5.642857142857142,33.5
2014,13,Ang Mo Kio,136,110.33333333333331,72,7.8,0.0,2.257142857142857,7.6,7.8,7.8,28.228571428571428,33.7,24.7,6.614285714285713,36.4
2014,14,Ang Mo Kio,96,85.5,75,36.8,0.0,5.371428571428572,13.0,15.8,25.0,28.357142857142854,34.4,23.3,5.5,37.4
2014,15,Ang Mo Kio,87,81.0,76,14.2,0.0,4.171428571428572,10.4,12.2,14.2,27.857142857142854,34.6,22.9,4.557142857142859,34.2
2014,16,Ang Mo Kio,115,100.0,85,21.2,0.0,6.2857142857142865,17.4,18.8,21.2,28.057142857142853,34.3,23.0,4.5285714285714285,38.5
2014,17,Ang Mo Kio,128,113.66666666666669,90,19.0,0.0,5.885714285714287,15.8,18.6,18.8,28.0,34.9,24.1,4.071428571428571,34.2
2014,18,Ang Mo Kio,100,100.0,100,28.0,0.0,4.4,27.0,28.0,28.0,28.942857142857147,34.8,24.4,4.771428571428571,34.6
2014,19,Ang Mo Kio,78,71.5,65,42.2,0.0,9.2,30.4,36.8,37.2,28.771428571428572,34.5,22.7,4.785714285714286,41.4
2014,20,Ang Mo Kio,86,68.0,50,38.0,0.0,11.857142857142858,22.2,34.2,38.0,28.5,34.3,23.4,4.9,44.3
2014,21,Ang Mo Kio,124,99.0,74,23.2,0.0,7.0,17.4,22.8,23.0,27.985714285714288,33.6,22.9,4.828571428571428,33.1
2014,22,Ang Mo Kio,184,153.0,122,10.8,0.0,3.9142857142857146,8.8,8.8,8.8,28.442857142857147,34.0,25.1,4.885714285714286,45.0
2014,23,Ang Mo Kio,201,179.0,157,32.6,0.0,7.828571428571429,15.2,20.6,30.2,28.3,33.7,24.1,5.328571428571427,45.7
2014,24,Ang Mo Kio,212,191.0,170,13.6,0.0,3.228571428571428,8.8,11.2,13.4,29.37142857142857,35.0,22.5,5.328571428571427,50.0
2014,25,Ang Mo Kio,201,190.0,179,11.8,0.0,2.2857142857142856,11.4,11.8,11.8,30.157142857142855,34.8,23.7,6.585714285714286,43.6
2014,26,Ang Mo Kio,209,205.0,201,16.8,0.0,5.7142857142857135,15.8,15.8,16.8,29.157142857142855,33.7,22.3,5.514285714285713,48.6
2014,27,Ang Mo Kio,234,234.0,234,26.2,0.0,4.514285714285714,15.2,24.4,26.2,28.300000000000004,32.9,22.8,4.614285714285715,34.6
2014,28,Ang Mo Kio,240,217.0,194,34.6,0.0,10.028571428571428,31.2,33.6,34.0,28.08571428571429,33.2,21.8,5.7142857142857135,49.0
2014,29,Ang Mo Kio,241,215.5,190,5.4,0.0,0.8,5.2,5.2,5.4,29.385714285714283,33.4,22.7,6.1571428571428575,34.9
2014,30,Ang Mo Kio,185,174.0,163,18.2,0.0,2.6,15.8,17.4,18.0,29.6,34.1,22.5,7.128571428571428,37.4
2014,31,Ang Mo Kio,156,144.5,133,16.6,0.0,5.428571428571429,11.6,12.6,12.6,28.228571428571428,32.7,23.0,5.914285714285716,56.5
2014,32,Ang Mo Kio,163,161.5,160,4.0,0.0,1.3142857142857145,2.8,2.8,2.8,28.07142857142857,32.4,23.5,6.357142857142858,38.2
2014,33,Ang Mo Kio,144,141.0,138,60.2,0.0,11.057142857142859,37.2,46.2,46.2,27.04285714285714,31.5,22.9,5.042857142857144,33.5
2014,34,Ang Mo Kio,95,91.0,87,24.0,0.0,4.371428571428572,15.0,15.8,24.0,28.057142857142853,32.7,23.8,6.142857142857142,41.4
2014,35,Ang Mo Kio,74,72.5,71,14.6,0.0,7.228571428571428,8.6,9.8,12.8,26.70000000000001,31.1,22.7,4.928571428571427,46.4
2014,36,Ang Mo Kio,51,47.0,43,24.8,0.0,5.257142857142857,13.6,17.0,23.6,27.985714285714288,33.6,22.5,6.314285714285715,44.3
