Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks
2014,1,Ang Mo Kio,87,87.0,87
2014,2,Ang Mo Kio,91,79.5,68
2014,3,Ang Mo Kio,95,91.5,88
2014,4,Ang Mo Kio,69,69.0,69
2014,5,Ang Mo Kio,57,54.66666666666666,50
2014,6,Ang Mo Kio,50,46.75,37
2014,7,Ang Mo Kio,72,60.0,45
2014,8,Ang Mo Kio,89,74.0,60
2014,9,Ang Mo Kio,51,45.66666666666666,36
2014,10,Ang Mo Kio,38,32.5,27
2014,11,Ang Mo Kio,70,58.0,40
2014,12,Ang Mo Kio,116,106.0,96
2014,13,Ang Mo Kio,136,110.33333333333331,72
2014,14,Ang Mo Kio,96,85.5,75
2014,15,Ang Mo Kio,87,81.0,76
2014,16,Ang Mo Kio,115,100.0,85
2014,17,Ang Mo Kio,128,113.66666666666669,90
2014,18,Ang Mo Kio,100,100.0,100
2014,19,Ang Mo Kio,78,71.5,65
2014,20,Ang Mo Kio,86,68.0,50
2014,21,Ang Mo Kio,124,99.0,74
2014,22,Ang Mo Kio,184,153.0,122
2014,23,Ang Mo Kio,201,179.0,157
2014,24,Ang Mo Kio,212,191.0,170
2014,25,Ang Mo Kio,201,190.0,179
2014,26,Ang Mo Kio,209,205.0,201
2014,27,Ang Mo Kio,234,234.0,234
2014,28,Ang Mo Kio,240,217.0,194
2014,29,Ang Mo Kio,241,215.5,190
2014,30,Ang Mo Kio,185,174.0,163
2014,31,Ang Mo Kio,156,144.5,133
2014,32,Ang Mo Kio,163,161.5,160
2014,33,Ang Mo Kio,144,141.0,138
2014,34,Ang Mo Kio,95,91.0,87
2014,35,Ang Mo Kio,74,72.5,71
2014,36,Ang Mo Kio,51,47.0,43
2014,37,Ang Mo Kio,59,53.5,48
2014,38,Ang Mo Kio,70,65.5,61
2014,39,Ang Mo Kio,62,59.5,57
2014,40,Ang Mo Kio,78,69.5,61
2014,41,Ang Mo Kio,56,53.5,51
2014,42,Ang Mo Kio,47,46.0,45
2014,43,Ang Mo Kio,50,47.5,45
2014,44,Ang Mo Kio,47,37.0,27
2014,45,Ang Mo Kio,36,33.0,30
2014,46,Ang Mo Kio,30,26.0,22
2014,47,Ang Mo Kio,25,21.0,17
2014,48,Ang Mo Kio,24,22.0,20
2014,49,Ang Mo Kio,27,22.5,18
2014,50,Ang Mo Kio,39,32.0,25
