Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,avg_daily_rainfall_total,highest_60_min_rainfall,mean_temperature,range_temperature,mean_wind_speed,historical_cases_week
2014,1,Changi,20,20.0,20,,,,,,
2014,2,Changi,21,17.5,14,,,,,,
2014,3,Changi,11,10.0,9,,,,,,
2014,4,Changi,12,9.5,7,,,,,,
2014,5,Changi,15,10.333333333333334,7,,,,,,
2014,6,Changi,14,11.25,10,,,,,,
2014,7,Changi,10,4.25,2,,,,,,
2014,8,Changi,1,0.3333333333333333,0,2.9557142857142855,7.25,26.23357142857143,7.3500000000000005,10.493571428571428,12.333333333333334
2014,9,Changi,0,0.0,0,2.0357142857142856,4.55,26.09285714285714,7.700000000000001,11.67142857142857,9.944444444444445
2014,10,Changi,9,4.5,0,0.0071428571428571435,0.05,26.146428571428572,8.125000000000002,12.714285714285714,10.361111111111112
2014,11,Changi,17,13.666666666666664,10,0.0071428571428571435,0.05,26.514285714285712,8.675,12.89642857142857,8.611111111111112
2014,12,Changi,26,22.0,18,0.0071428571428571435,0.05,27.014285714285716,9.05,13.628571428571428,5.277777777777778
2014,13,Changi,32,25.66666666666667,15,0.0071428571428571435,0.05,27.378571428571426,9.2,13.882142857142856,1.5277777777777777
2014,14,Changi,9,5.5,2,0.0,0.0,27.64642857142857,9.174999999999999,14.135714285714286,1.611111111111111
2014,15,Changi,5,3.6666666666666665,3,1.8785714285714283,6.55,27.710714285714285,9.55,13.92142857142857,6.0555555555555545
2014,16,Changi,4,3.0,2,2.3428571428571425,7.65,27.642857142857142,9.85,12.375,13.388888888888888
2014,17,Changi,4,3.0,2,2.3571428571428568,7.75,27.907142857142855,9.825,11.385714285714286,20.444444444444446
2014,18,Changi,0,0.0,0,3.271428571428571,12.05,28.075000000000003,10.25,10.382142857142856,17.722222222222225
2014,19,Changi,4,2.5,1,2.4357142857142855,8.0,28.03214285714286,10.275000000000002,8.8,11.611111111111112
2014,20,Changi,6,4.5,3,3.0142857142857142,13.5,28.292857142857144,10.4,8.34642857142857,4.055555555555555
2014,21,Changi,40,25.0,10,3.2714285714285714,14.2,28.235714285714288,10.4,7.421428571428572,3.222222222222222
2014,22,Changi,54,41.0,28,3.0785714285714283,12.45,28.36785714285714,9.850000000000001,7.039285714285715,2.0
2014,23,Changi,51,41.0,31,3.128571428571428,13.35,28.65,9.575,7.175,1.8333333333333333
2014,24,Changi,54,48.0,42,4.107142857142857,11.8,28.64642857142857,9.625,6.860714285714286,2.3333333333333335
2014,25,Changi,52,43.5,35,4.392857142857142,12.25,28.557142857142857,9.55,6.892857142857143,10.666666666666666
2014,26,Changi,68,66.0,64,5.071428571428571,14.0,28.45357142857143,9.375,6.792857142857143,23.5
2014,27,Changi,81,78.0,75,4.678571428571429,11.45,28.325,8.825000000000003,7.042857142857143,35.666666666666664
2014,28,Changi,67,66.5,66,3.542857142857143,11.0,28.510714285714286,8.8,7.367857142857143,43.333333333333336
2014,29,Changi,67,53.5,40,3.185714285714286,10.5,28.982142857142858,8.875000000000002,7.824999999999999,44.166666666666664
2014,30,Changi,31,30.0,29,1.8214285714285716,6.449999999999999,29.12142857142857,8.750000000000002,7.953571428571429,52.5
2014,31,Changi,40,29.0,18,2.0142857142857147,10.35,29.082142857142856,9.100000000000001,7.475,62.5
2014,32,Changi,31,29.5,28,3.1214285714285714,12.15,28.824999999999996,8.975000000000001,7.582142857142857,70.16666666666667
2014,33,Changi,37,32.0,27,3.221428571428571,13.35,28.64642857142857,8.825000000000003,7.8,66.0
2014,34,Changi,39,37.0,35,4.178571428571429,19.85,28.764285714285716,9.325000000000003,8.842857142857142,50.0
2014,35,Changi,36,33.0,30,4.921428571428571,19.8,28.767857142857146,9.875,9.364285714285714,37.5
2014,36,Changi,35,32.5,30,3.6500000000000004,15.7,28.675,9.525,9.64642857142857,29.5
2014,37,Changi,31,30.5,30,4.978571428571429,23.2,28.20357142857143,9.075,9.064285714285715,30.166666666666668
2014,38,Changi,22,21.5,21,4.871428571428572,19.0,27.86785714285714,8.375,8.742857142857142,32.833333333333336
2014,39,Changi,29,26.5,24,8.185714285714285,24.65,27.553571428571427,8.05,8.467857142857143,34.0
2014,40,Changi,42,32.5,23,7.821428571428571,24.5,27.625,8.3,8.357142857142858,34.166666666666664
2014,41,Changi,29,26.0,23,6.392857142857143,15.85,27.932142857142857,8.25,8.778571428571428,32.0
2014,42,Changi,29,20.5,12,6.764285714285714,21.15,28.107142857142854,9.075000000000001,9.07857142857143,28.166666666666668
2014,43,Changi,33,32.0,31,2.9857142857142858,14.4,28.46785714285714,9.150000000000002,10.0,26.166666666666668
2014,44,Changi,25,24.5,24,2.864285714285714,13.75,28.574999999999996,9.0,10.5,26.833333333333332
2014,45,Changi,15,15.0,15,2.664285714285714,12.95,28.69642857142857,8.925,10.717857142857145,28.333333333333332
