Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Max PSI East,Avg PSI East
2014,1,Changi,20.0,20.0,20.0,18.4,0.0,3.68,8.6,10.8,15.4,26.62,31.1,23.3,8.959999999999997,36.0,,
2014,2,Changi,21.0,17.5,14.0,31.2,0.0,8.142857142857142,18.2,18.2,18.2,26.37142857142857,31.8,23.7,7.514285714285713,34.9,,
2014,3,Changi,11.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,26.242857142857147,30.3,23.5,13.214285714285715,40.0,,
2014,4,Changi,12.0,9.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,29.4,22.7,12.285714285714285,41.4,,
2014,5,Changi,15.0,10.333333333333334,7.0,0.0,0.0,0.0,0.0,0.0,0.0,26.057142857142853,31.6,22.4,13.671428571428573,42.8,,
2014,6,Changi,14.0,11.25,10.0,0.2,0.0,0.028571428571428574,0.2,0.2,0.2,26.585714285714282,32.7,22.9,11.685714285714285,34.2,,
2014,7,Changi,10.0,4.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.714285714285715,33.8,24.8,13.942857142857141,41.0,,
2014,8,Changi,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,32.6,24.4,15.214285714285715,42.8,,
2014,9,Changi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.514285714285712,33.8,24.0,14.685714285714285,41.4,,
2014,10,Changi,9.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.657142857142855,33.5,23.8,12.7,42.1,,
2014,11,Changi,17.0,13.666666666666664,10.0,52.6,0.0,7.514285714285713,20.4,26.2,37.8,27.97142857142857,34.1,23.6,13.085714285714285,41.4,,
2014,12,Changi,26.0,22.0,18.0,5.4,0.0,1.8571428571428568,3.6,4.4,5.2,27.42857142857143,33.6,24.2,9.028571428571428,36.0,,
2014,13,Changi,32.0,25.66666666666667,15.0,0.4,0.0,0.05714285714285715,0.4,0.4,0.4,28.57142857142857,34.4,24.7,10.728571428571428,37.1,,
2014,14,Changi,9.0,5.5,2.0,23.4,0.0,3.6571428571428566,15.2,17.2,17.4,28.32857142857143,34.2,22.8,8.685714285714285,43.2,,
2014,15,Changi,5.0,3.6666666666666665,3.0,10.0,0.0,4.171428571428572,9.8,10.0,10.0,27.800000000000004,34.5,23.9,6.757142857142857,43.2,,
2014,16,Changi,4.0,3.0,2.0,28.8,0.0,4.171428571428572,21.2,26.4,28.8,28.47142857142857,33.4,23.5,7.2142857142857135,33.1,,
2014,17,Changi,4.0,3.0,2.0,5.2,0.0,1.0857142857142859,2.0,3.2,5.0,28.342857142857138,34.4,24.7,7.0285714285714285,40.3,,
2014,18,Changi,0.0,0.0,0.0,13.4,0.0,2.8857142857142852,8.2,10.2,13.4,28.857142857142854,33.7,24.5,7.1571428571428575,35.3,,
2014,19,Changi,4.0,2.5,1.0,18.4,0.0,4.371428571428571,10.0,13.6,14.6,28.92857142857143,33.8,24.3,7.3,37.8,,
2014,20,Changi,6.0,4.5,3.0,22.2,0.0,8.085714285714285,18.2,20.2,20.2,28.457142857142852,33.1,23.0,5.957142857142857,42.5,,
2014,21,Changi,40.0,25.0,10.0,7.2,0.0,2.2285714285714286,3.8,5.0,5.2,27.985714285714288,32.6,23.2,7.1571428571428575,34.6,,
2014,22,Changi,54.0,41.0,28.0,18.0,0.0,5.6000000000000005,17.2,17.2,17.2,28.442857142857147,32.7,24.2,6.757142857142857,42.1,,
2014,23,Changi,51.0,41.0,31.0,8.8,0.0,2.8000000000000003,3.2,3.4,4.2,28.41428571428571,32.6,25.3,8.3,39.6,,
2014,24,Changi,54.0,48.0,42.0,18.8,0.0,3.542857142857143,16.4,18.4,18.6,29.2,33.0,23.0,7.257142857142857,60.5,,
2014,25,Changi,52.0,43.5,35.0,3.2,0.0,0.7999999999999999,2.4,3.0,3.2,29.87142857142857,33.6,23.9,8.985714285714286,43.9,,
2014,26,Changi,68.0,66.0,64.0,1.0,0.0,0.14285714285714285,0.8,1.0,1.0,29.0,33.2,25.2,7.27142857142857,39.6,,
2014,27,Changi,81.0,78.0,75.0,19.4,0.0,3.571428571428572,18.0,19.0,19.0,28.257142857142853,32.6,23.9,6.385714285714285,44.3,,
2014,28,Changi,67.0,66.5,66.0,26.8,0.0,7.971428571428571,24.6,25.6,26.4,28.17142857142857,32.1,22.6,7.685714285714285,59.8,,
2014,29,Changi,67.0,53.5,40.0,7.8,0.0,1.2,7.6,7.8,7.8,29.157142857142862,32.5,23.4,9.857142857142858,46.4,,
2014,30,Changi,31.0,30.0,29.0,27.8,0.0,3.971428571428572,15.4,27.0,27.6,29.47142857142857,33.2,23.2,11.442857142857141,35.6,,
2014,31,Changi,40.0,29.0,18.0,29.0,0.0,6.542857142857143,18.4,18.8,19.4,28.271428571428572,32.0,21.1,8.471428571428572,70.6,,
2014,32,Changi,31.0,29.5,28.0,9.2,0.0,2.8857142857142857,9.2,9.2,9.2,27.8,31.7,23.6,8.814285714285715,52.9,,
2014,33,Changi,37.0,32.0,27.0,41.2,0.0,6.514285714285713,33.6,37.8,39.8,27.271428571428572,30.8,23.5,7.528571428571429,40.3,,
2014,34,Changi,39.0,37.0,35.0,12.0,0.0,3.542857142857143,9.8,10.2,10.2,28.128571428571423,31.9,24.7,10.157142857142855,46.8,,
2014,35,Changi,36.0,33.0,30.0,44.2,0.0,19.8,36.4,41.4,42.4,27.014285714285716,31.6,22.0,7.371428571428571,44.6,,
2014,36,Changi,35.0,32.5,30.0,9.2,0.0,1.4285714285714286,5.4,8.6,9.2,28.085714285714282,32.5,23.4,8.37142857142857,45.7,,
2014,37,Changi,31.0,30.5,30.0,3.2,0.0,0.7999999999999999,3.2,3.2,3.2,28.5,32.0,24.9,9.214285714285714,40.3,,
2014,38,Changi,22.0,21.5,21.0,31.6,0.0,5.0285714285714285,29.8,31.4,31.4,28.828571428571426,32.9,22.4,11.357142857142858,61.9,,
2014,39,Changi,29.0,26.5,24.0,23.4,0.0,4.685714285714285,13.0,14.4,16.4,28.45714285714286,33.2,23.3,11.057142857142859,61.6,,
2014,40,Changi,42.0,32.5,23.0,6.6,0.0,0.9428571428571428,5.0,6.0,6.6,28.514285714285712,32.6,24.1,10.37142857142857,42.1,,
2014,41,Changi,29.0,26.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,28.985714285714288,32.6,25.8,10.085714285714287,33.8,,
2014,42,Changi,29.0,20.5,12.0,32.6,0.0,5.4,15.2,18.0,24.0,28.214285714285715,34.1,24.2,7.2142857142857135,37.8,,
2014,43,Changi,33.0,32.0,31.0,6.0,0.0,1.5142857142857142,2.4,4.0,5.4,28.214285714285715,33.2,24.8,7.514285714285713,35.3,,
2014,44,Changi,25.0,24.5,24.0,32.8,0.0,9.914285714285716,21.0,28.2,28.2,28.32857142857143,33.5,24.0,6.3428571428571425,37.4,,
2014,45,Changi,15.0,15.0,15.0,50.4,0.0,14.028571428571427,19.8,20.2,20.4,27.728571428571428,33.4,22.8,7.057142857142857,49.7,,
2014,46,Changi,8.0,6.5,5.0,64.4,0.2,13.285714285714285,43.6,60.4,63.0,27.042857142857148,32.8,22.2,5.971428571428572,50.8,,
2014,47,Changi,9.0,8.0,7.0,7.6,0.0,1.8285714285714287,3.2,4.0,4.6,27.242857142857147,32.3,24.6,6.571428571428571,40.7,,
