Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks
2014,1,Changi,20,20.0,20
2014,2,Changi,21,17.5,14
2014,3,Changi,11,10.0,9
2014,4,Changi,12,9.5,7
2014,5,Changi,15,10.333333333333334,7
2014,6,Changi,14,11.25,10
2014,7,Changi,10,4.25,2
2014,8,Changi,1,0.3333333333333333,0
2014,9,Changi,0,0.0,0
2014,10,Changi,9,4.5,0
2014,11,Changi,17,13.666666666666664,10
2014,12,Changi,26,22.0,18
2014,13,Changi,32,25.66666666666667,15
2014,14,Changi,9,5.5,2
2014,15,Changi,5,3.6666666666666665,3
2014,16,Changi,4,3.0,2
2014,17,Changi,4,3.0,2
2014,18,Changi,0,0.0,0
2014,19,Changi,4,2.5,1
2014,20,Changi,6,4.5,3
2014,21,Changi,40,25.0,10
2014,22,Changi,54,41.0,28
2014,23,Changi,51,41.0,31
2014,24,Changi,54,48.0,42
2014,25,Changi,52,43.5,35
2014,26,Changi,68,66.0,64
2014,27,Changi,81,78.0,75
2014,28,Changi,67,66.5,66
2014,29,Changi,67,53.5,40
2014,30,Changi,31,30.0,29
2014,31,Changi,40,29.0,18
2014,32,Changi,31,29.5,28
2014,33,Changi,37,32.0,27
2014,34,Changi,39,37.0,35
2014,35,Changi,36,33.0,30
2014,36,Changi,35,32.5,30
2014,37,Changi,31,30.5,30
2014,38,Changi,22,21.5,21
2014,39,Changi,29,26.5,24
2014,40,Changi,42,32.5,23
2014,41,Changi,29,26.0,23
2014,42,Changi,29,20.5,12
2014,43,Changi,33,32.0,31
2014,44,Changi,25,24.5,24
2014,45,Changi,15,15.0,15
2014,46,Changi,8,6.5,5
2014,47,Changi,9,8.0,7
2014,48,Changi,9,7.0,5
2014,49,Changi,16,12.0,8
2014,50,Changi,21,19.0,17
2014,51,Changi,17,15.5,14
2014,52,Changi,10,7.0,5
2015,1,Changi,7,7.0,7
2015,2,Changi,18,15.5,13
2015,3,Changi,15,13.5,12
2015,4,Changi,19,13.5,8
2015,5,Changi,26,22.0,18
2015,6,Changi,29,28.0,27
2015,7,Changi,27,21.5,16
2015,8,Changi,18,18.0,18
2015,9,Changi,6,4.0,2
2015,10,Changi,11,11.0,11
2015,11,Changi,18,12.0,6
2015,12,Changi,11,7.5,4
2015,13,Changi,4,3.5,3
2015,14,Changi,5,4.5,4
2015,15,Changi,3,2.5,2
2015,16,Changi,8,5.0,2
2015,17,Changi,9,9.0,9
2015,18,Changi,12,9.0,6
2015,19,Changi,25,25.0,25
2015,20,Changi,24,23.0,22
2015,21,Changi,12,10.5,9
2015,22,Changi,8,6.5,5
2015,23,Changi,9,8.0,7
2015,24,Changi,15,12.0,9
2015,25,Changi,14,14.0,14
2015,26,Changi,19,14.0,9
2015,27,Changi,21,19.0,17
2015,28,Changi,17,15.0,13
2015,29,Changi,25,18.5,12
2015,30,Changi,19,18.5,18
2015,31,Changi,28,28.0,28
2015,32,Changi,23,23.0,23
2015,33,Changi,18,18.0,18
2015,34,Changi,9,9.0,9
2015,35,Changi,8,8.0,8
2015,36,Changi,32,25.5,19
2015,37,Changi,32,32.0,32
2015,38,Changi,18,18.0,18
2015,40,Changi,52,39.0,26
2015,41,Changi,52,52.0,52
2015,42,Changi,52,52.0,52
2015,44,Changi,35,35.0,35
2015,45,Changi,28,28.0,28
2015,46,Changi,45,45.0,45
2015,47,Changi,36,36.0,36
2015,48,Changi,38,38.0,38
2015,49,Changi,71,63.5,56
2015,51,Changi,56,56.0,56
2015,52,Changi,56,56.0,56
2015,53,Changi,93,71.0,49
2016,1,Changi,86,75.5,65
2016,2,Changi,121,106.0,91
2016,3,Changi,129,120.0,111
2016,4,Changi,116,113.0,110
2016,5,Changi,99,85.0,71
2016,6,Changi,65,59.0,53
2016,7,Changi,68,66.0,64
2016,8,Changi,66,64.5,63
2016,9,Changi,54,52.0,50
2016,10,Changi,51,49.5,48
2016,11,Changi,81,65.0,49
2016,12,Changi,59,58.0,57
2016,13,Changi,62,58.0,54
2016,14,Changi,70,62.0,54
2016,15,Changi,53,48.0,43
2016,16,Changi,22,21.0,20
2016,17,Changi,48,33.5,19
2016,18,Changi,47,40.0,33
2016,19,Changi,30,27.5,25
2016,20,Changi,31,30.0,29
2016,21,Changi,19,18.5,18
2016,22,Changi,13,11.0,9
2016,23,Changi,17,12.5,8
2016,24,Changi,14,13.5,13
2016,25,Changi,23,19.5,16
2016,26,Changi,32,28.0,24
2016,27,Changi,20,19.5,19
2016,28,Changi,22,20.0,18
2016,29,Changi,37,30.5,24
2016,30,Changi,54,50.0,46
2016,31,Changi,38,35.0,32
2016,32,Changi,25,24.5,24
2016,33,Changi,39,37.0,35
2016,34,Changi,39,37.5,36
2016,35,Changi,39,35.5,32
2016,36,Changi,38,32.5,27
2016,37,Changi,31,27.0,23
2016,38,Changi,25,20.5,16
2016,39,Changi,13,12.5,12
2016,40,Changi,21,14.5,8
