Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2014,1,Khatib,20,20.0,20,19.8,0.0,5.08,17.2,17.6,19.8,26.76,32.4,23.7,5.660000000000001,29.2
2014,2,Khatib,35,25.0,15,61.8,0.0,12.685714285714285,16.8,24.4,24.6,26.542857142857148,32.7,23.5,4.985714285714286,32.4
2014,3,Khatib,41,37.5,34,0.0,0.0,0.0,0.0,0.0,0.0,26.37142857142857,30.8,23.4,7.7714285714285705,34.6
2014,4,Khatib,40,33.0,26,0.0,0.0,0.0,0.0,0.0,0.0,25.857142857142858,30.6,22.4,7.371428571428571,31.7
2014,5,Khatib,27,23.33333333333333,19,0.0,0.0,0.0,0.0,0.0,0.0,26.357142857142854,33.0,21.9,7.8000000000000025,36.0
2014,6,Khatib,32,26.75,22,40.2,0.0,5.771428571428572,37.0,40.2,40.2,26.771428571428572,33.6,22.3,6.328571428571428,51.5
2014,7,Khatib,16,11.0,7,0.2,0.0,0.028571428571428574,0.2,0.2,0.2,27.92857142857143,34.1,22.5,7.528571428571429,36.4
2014,8,Khatib,14,10.333333333333334,7,0.0,0.0,0.0,0.0,0.0,0.0,27.842857142857138,33.9,24.5,8.642857142857144,37.1
2014,9,Khatib,10,7.333333333333332,6,0.0,0.0,0.0,0.0,0.0,0.0,27.728571428571428,34.4,23.8,8.357142857142858,38.2
2014,10,Khatib,5,3.5,2,0.0,0.0,0.0,0.0,0.0,0.0,28.042857142857148,35.8,23.8,7.385714285714287,31.0
2014,11,Khatib,7,5.333333333333333,3,26.0,0.0,3.7142857142857135,7.0,7.0,9.8,28.2,35.2,24.4,7.728571428571428,39.6
2014,12,Khatib,7,5.0,3,41.6,0.0,22.73333333333333,36.2,41.2,41.6,26.5,33.3,23.4,4.783333333333334,36.0
2014,13,Khatib,10,8.666666666666666,7,30.8,0.0,4.828571428571427,25.2,30.8,30.8,28.66666666666667,34.9,24.2,6.557142857142857,30.6
2014,14,Khatib,9,6.0,3,9.2,0.0,2.657142857142857,8.6,9.2,9.2,28.271428571428572,34.7,24.2,4.742857142857143,28.4
2014,15,Khatib,2,2.0,2,20.4,0.0,5.542857142857144,14.2,19.8,19.8,27.7,34.6,22.8,4.128571428571428,31.3
2014,16,Khatib,3,1.5,0,11.8,0.2,5.057142857142857,10.6,11.4,11.8,27.585714285714282,35.3,23.2,3.7285714285714286,36.0
2014,17,Khatib,0,0.0,0,5.4,0.0,1.7285714285714289,2.5,3.8,5.2,27.357142857142854,35.2,23.8,3.8428571428571434,35.6
2014,18,Khatib,0,0.0,0,16.2,0.0,3.457142857142857,15.0,15.0,15.2,28.17142857142857,34.4,24.0,4.0,36.4
2014,19,Khatib,4,3.5,3,32.2,0.0,12.657142857142857,21.8,32.2,32.2,28.085714285714282,34.6,23.4,3.971428571428572,37.4
2014,20,Khatib,4,4.0,4,10.4,0.0,4.428571428571427,6.2,9.6,10.2,27.542857142857148,33.7,23.2,3.985714285714285,33.5
2014,21,Khatib,2,1.0,0,38.8,0.0,9.37142857142857,18.0,34.8,38.8,27.442857142857143,34.7,22.8,4.1,32.4
2014,22,Khatib,2,1.0,0,25.4,0.0,7.6571428571428575,21.6,25.4,25.4,27.814285714285717,33.6,24.6,4.157142857142857,32.4
