Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks
2014,1,Khatib,20,20.0,20
2014,2,Khatib,35,25.0,15
2014,3,Khatib,41,37.5,34
2014,4,Khatib,40,33.0,26
2014,5,Khatib,27,23.33333333333333,19
2014,6,Khatib,32,26.75,22
2014,7,Khatib,16,11.0,7
2014,8,Khatib,14,10.333333333333334,7
2014,9,Khatib,10,7.333333333333332,6
2014,10,Khatib,5,3.5,2
2014,11,Khatib,7,5.333333333333333,3
2014,12,Khatib,7,5.0,3
2014,13,Khatib,10,8.666666666666666,7
2014,14,Khatib,9,6.0,3
2014,15,Khatib,2,2.0,2
2014,16,Khatib,3,1.5,0
2014,17,Khatib,0,0.0,0
2014,18,Khatib,0,0.0,0
2014,19,Khatib,4,3.5,3
2014,20,Khatib,4,4.0,4
2014,21,Khatib,2,1.0,0
2014,22,Khatib,2,1.0,0
2014,23,Khatib,4,3.0,2
2014,24,Khatib,9,5.0,1
2014,25,Khatib,6,5.5,5
2014,26,Khatib,14,9.0,4
2014,27,Khatib,84,54.5,25
2014,28,Khatib,197,149.5,102
2014,29,Khatib,323,298.5,274
2014,30,Khatib,247,245.5,244
2014,31,Khatib,123,121.5,120
2014,32,Khatib,71,58.5,46
2014,33,Khatib,40,38.5,37
2014,34,Khatib,53,48.5,44
2014,35,Khatib,58,52.5,47
2014,36,Khatib,62,53.5,45
2014,37,Khatib,52,51.0,50
2014,38,Khatib,48,46.0,44
2014,39,Khatib,46,44.0,42
2014,40,Khatib,34,32.0,30
2014,41,Khatib,22,21.0,20
2014,42,Khatib,25,19.5,14
2014,43,Khatib,26,19.5,13
2014,44,Khatib,25,19.0,13
2014,45,Khatib,21,20.0,19
2014,46,Khatib,12,12.0,12
2014,47,Khatib,12,9.0,6
2014,48,Khatib,8,6.0,4
2014,49,Khatib,7,6.5,6
2014,50,Khatib,4,2.5,1
2014,51,Khatib,5,4.0,3
2014,52,Khatib,4,3.0,1
2015,1,Khatib,8,8.0,8
2015,2,Khatib,16,14.5,13
2015,3,Khatib,12,9.5,7
2015,4,Khatib,7,5.5,4
2015,5,Khatib,13,8.0,3
2015,6,Khatib,12,10.0,8
2015,7,Khatib,13,10.5,8
2015,8,Khatib,12,12.0,12
2015,9,Khatib,5,3.5,2
2015,10,Khatib,4,3.0,2
2015,11,Khatib,15,9.5,4
2015,12,Khatib,17,14.0,11
2015,13,Khatib,14,11.5,9
2015,14,Khatib,20,16.5,13
2015,15,Khatib,14,13.0,12
2015,16,Khatib,12,10.5,9
2015,17,Khatib,9,7.5,6
2015,18,Khatib,6,5.5,5
2015,19,Khatib,5,5.0,5
2015,20,Khatib,11,8.0,5
2015,21,Khatib,7,4.5,2
2015,22,Khatib,16,9.0,2
2015,23,Khatib,15,15.0,15
2015,24,Khatib,15,12.0,9
2015,25,Khatib,12,12.0,12
2015,26,Khatib,28,22.5,17
2015,27,Khatib,28,27.0,26
2015,28,Khatib,38,28.5,19
2015,29,Khatib,48,40.5,33
2015,30,Khatib,39,35.0,31
2015,31,Khatib,28,28.0,28
2015,32,Khatib,14,14.0,14
2015,33,Khatib,17,17.0,17
2015,34,Khatib,15,15.0,15
2015,35,Khatib,27,27.0,27
2015,36,Khatib,28,25.0,22
2015,37,Khatib,36,36.0,36
2015,38,Khatib,30,30.0,30
2015,40,Khatib,24,22.5,21
2015,41,Khatib,27,27.0,27
2015,42,Khatib,21,21.0,21
2015,44,Khatib,26,24.0,22
2015,45,Khatib,18,18.0,18
2015,46,Khatib,24,24.0,24
2015,47,Khatib,18,18.0,18
2015,48,Khatib,8,8.0,8
2015,49,Khatib,16,12.5,9
2015,51,Khatib,27,27.0,27
2015,52,Khatib,22,22.0,22
2015,53,Khatib,59,49.5,40
2016,1,Khatib,59,48.5,38
2016,2,Khatib,71,62.5,54
2016,3,Khatib,98,83.5,69
2016,4,Khatib,115,110.5,106
2016,5,Khatib,92,91.5,91
2016,6,Khatib,55,52.0,49
2016,7,Khatib,59,56.5,54
2016,8,Khatib,94,85.0,76
2016,9,Khatib,74,67.5,61
2016,10,Khatib,58,49.0,40
2016,11,Khatib,34,33.0,32
2016,12,Khatib,34,33.5,33
2016,13,Khatib,16,16.0,16
2016,14,Khatib,26,20.0,14
2016,15,Khatib,19,16.5,14
2016,16,Khatib,20,17.0,14
2016,17,Khatib,19,18.5,18
2016,18,Khatib,11,11.0,11
2016,19,Khatib,23,17.5,12
2016,20,Khatib,49,36.5,24
2016,21,Khatib,40,37.5,35
2016,22,Khatib,44,38.5,33
2016,23,Khatib,40,37.0,34
2016,24,Khatib,30,29.0,28
