Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Max PSI South,Avg PSI South
2014,1,Marina Barrage,21.0,21.0,21.0,21.8,0.0,6.959999999999999,15.6,17.6,17.8,26.94,31.9,23.8,8.139999999999999,32.0,,
2014,2,Marina Barrage,43.0,31.5,20.0,25.0,0.0,6.942857142857143,19.4,22.0,24.8,27.04285714285714,34.0,24.1,7.442857142857143,44.3,,
2014,3,Marina Barrage,40.0,37.5,35.0,1.0,0.0,0.14285714285714285,1.0,1.0,1.0,26.5,31.0,24.4,12.471428571428573,45.0,,
2014,4,Marina Barrage,38.0,29.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,26.085714285714282,31.0,23.9,12.3,45.4,,
2014,5,Marina Barrage,34.0,30.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,26.542857142857148,34.3,23.7,11.842857142857143,37.4,,
2014,6,Marina Barrage,30.0,27.75,23.0,3.0,0.0,0.42857142857142855,3.0,3.0,3.0,27.02857142857143,34.9,24.1,8.67142857142857,29.5,,
2014,7,Marina Barrage,23.0,16.75,11.0,0.0,0.0,0.0,0.0,0.0,0.0,27.95714285714286,34.2,25.0,10.571428571428571,35.6,,
2014,8,Marina Barrage,30.0,27.66666666666667,24.0,0.0,0.0,0.0,0.0,0.0,0.0,27.857142857142854,32.4,22.0,11.614285714285714,44.3,,
2014,9,Marina Barrage,21.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,27.657142857142855,34.1,24.7,11.099999999999998,39.2,,
2014,10,Marina Barrage,16.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,27.985714285714284,35.1,25.0,9.728571428571428,37.4,,
2014,11,Marina Barrage,14.0,10.333333333333334,8.0,31.0,0.0,4.428571428571429,11.6,15.8,24.4,28.17142857142857,34.8,23.7,9.87142857142857,75.2,,
2014,12,Marina Barrage,12.0,10.0,8.0,71.6,0.0,19.6,52.8,63.6,71.4,27.47142857142857,33.4,23.6,6.6571428571428575,40.7,,
2014,13,Marina Barrage,23.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,28.92857142857143,33.2,25.5,7.7857142857142865,32.8,,
2014,14,Marina Barrage,32.0,31.5,31.0,28.4,0.0,4.142857142857143,7.8,9.2,17.4,28.885714285714283,33.3,23.5,5.9,85.0,,
2014,15,Marina Barrage,22.0,17.666666666666668,15.0,8.2,0.0,2.542857142857143,8.0,8.2,8.2,28.47142857142857,34.5,24.2,5.1571428571428575,30.2,,
2014,16,Marina Barrage,9.0,7.5,6.0,46.0,0.0,9.171428571428573,37.8,45.2,46.0,28.95714285714286,33.3,23.2,4.728571428571429,46.1,,
2014,17,Marina Barrage,17.0,9.333333333333334,4.0,53.6,0.0,11.285714285714285,44.0,51.2,53.6,28.957142857142852,34.1,23.8,4.6571428571428575,38.2,,
2014,18,Marina Barrage,16.0,16.0,16.0,50.4,0.0,7.628571428571428,26.6,36.2,42.4,29.57142857142857,34.5,24.4,4.757142857142857,30.6,,
2014,19,Marina Barrage,9.0,9.0,9.0,5.2,0.0,0.9142857142857144,3.6,4.8,4.8,29.842857142857138,34.4,25.5,4.6714285714285735,24.8,,
2014,20,Marina Barrage,9.0,8.5,8.0,39.2,0.0,7.114285714285715,16.6,22.6,23.6,29.1,34.0,24.3,4.628571428571427,42.1,,
2014,21,Marina Barrage,18.0,12.5,7.0,9.0,0.0,2.4857142857142853,5.6,6.0,6.0,28.728571428571428,33.9,23.7,4.471428571428572,36.7,,
2014,22,Marina Barrage,33.0,27.5,22.0,10.6,0.0,3.8,7.4,9.6,10.2,29.185714285714287,33.8,25.1,4.4,25.2,,
2014,23,Marina Barrage,43.0,33.5,24.0,6.0,0.0,1.9142857142857144,2.0,2.6,3.0,29.114285714285717,33.7,25.6,4.757142857142859,37.1,,
2014,24,Marina Barrage,39.0,36.5,34.0,5.4,0.0,1.2857142857142858,3.8,4.4,5.2,29.88333333333333,34.7,24.4,4.457142857142856,46.4,,
2014,25,Marina Barrage,26.0,26.0,26.0,14.0,0.0,3.0571428571428565,11.0,12.0,13.2,30.257142857142853,34.5,23.7,5.0857142857142845,35.3,,
2014,26,Marina Barrage,42.0,35.5,29.0,6.2,0.0,1.3714285714285717,5.4,6.2,6.2,29.32857142857143,33.3,25.1,4.785714285714286,41.0,,
2014,27,Marina Barrage,59.0,47.5,36.0,7.4,0.0,3.1428571428571432,7.0,7.2,7.2,28.814285714285717,33.4,23.8,4.442857142857143,45.4,,
2014,28,Marina Barrage,114.0,83.0,52.0,22.2,0.0,6.571428571428571,19.8,20.6,21.0,28.728571428571428,33.6,22.9,5.057142857142857,41.8,,
2014,29,Marina Barrage,74.0,63.5,53.0,15.6,0.0,2.3428571428571425,15.2,15.6,15.6,29.771428571428572,33.9,23.0,5.0,40.3,,
2014,30,Marina Barrage,50.0,45.5,41.0,20.6,0.0,2.9428571428571435,14.4,20.0,20.4,30.12857142857143,34.6,23.5,5.757142857142857,100.1,,
2014,31,Marina Barrage,65.0,58.0,51.0,72.0,0.0,16.97142857142857,35.6,63.4,72.0,28.87142857142857,32.9,23.7,5.142857142857143,39.2,,
2014,32,Marina Barrage,62.0,51.5,41.0,10.4,0.0,2.0571428571428574,10.0,10.4,10.4,28.357142857142854,33.7,23.9,5.385714285714287,50.8,,
2014,33,Marina Barrage,42.0,41.0,40.0,21.8,0.0,4.8285714285714265,17.2,21.6,21.6,27.914285714285718,32.7,23.4,4.642857142857143,33.8,,
2014,34,Marina Barrage,43.0,32.5,22.0,19.0,0.0,6.7142857142857135,17.4,19.0,19.0,28.585714285714282,33.0,24.3,4.842857142857143,34.2,,
2014,35,Marina Barrage,14.0,12.0,10.0,27.8,0.0,6.971428571428572,9.4,17.6,24.0,27.6,32.8,22.9,4.5285714285714285,36.4,,
