Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks
2014,1,Marina Barrage,21,21.0,21
2014,2,Marina Barrage,43,31.5,20
2014,3,Marina Barrage,40,37.5,35
2014,4,Marina Barrage,38,29.5,21
2014,5,Marina Barrage,34,30.0,24
2014,6,Marina Barrage,30,27.75,23
2014,7,Marina Barrage,23,16.75,11
2014,8,Marina Barrage,30,27.66666666666667,24
2014,9,Marina Barrage,21,10.0,3
2014,10,Marina Barrage,16,13.0,7
2014,11,Marina Barrage,14,10.333333333333334,8
2014,12,Marina Barrage,12,10.0,8
2014,13,Marina Barrage,23,18.0,15
2014,14,Marina Barrage,32,31.5,31
2014,15,Marina Barrage,22,17.666666666666668,15
2014,16,Marina Barrage,9,7.5,6
2014,17,Marina Barrage,17,9.333333333333334,4
2014,18,Marina Barrage,16,16.0,16
2014,19,Marina Barrage,9,9.0,9
2014,20,Marina Barrage,9,8.5,8
2014,21,Marina Barrage,18,12.5,7
2014,22,Marina Barrage,33,27.5,22
2014,23,Marina Barrage,43,33.5,24
2014,24,Marina Barrage,39,36.5,34
2014,25,Marina Barrage,26,26.0,26
2014,26,Marina Barrage,42,35.5,29
2014,27,Marina Barrage,59,47.5,36
2014,28,Marina Barrage,114,83.0,52
2014,29,Marina Barrage,74,63.5,53
2014,30,Marina Barrage,50,45.5,41
2014,31,Marina Barrage,65,58.0,51
2014,32,Marina Barrage,62,51.5,41
2014,33,Marina Barrage,42,41.0,40
2014,34,Marina Barrage,43,32.5,22
2014,35,Marina Barrage,14,12.0,10
2014,36,Marina Barrage,22,21.5,21
2014,37,Marina Barrage,32,27.5,23
2014,38,Marina Barrage,31,27.5,24
2014,39,Marina Barrage,41,35.5,30
2014,40,Marina Barrage,36,35.0,34
2014,41,Marina Barrage,20,19.5,19
2014,42,Marina Barrage,25,21.0,17
2014,43,Marina Barrage,31,30.5,30
2014,44,Marina Barrage,25,17.0,9
2014,45,Marina Barrage,9,8.0,7
2014,46,Marina Barrage,10,9.5,9
2014,47,Marina Barrage,17,13.5,10
2014,48,Marina Barrage,17,12.5,8
2014,49,Marina Barrage,13,9.5,6
2014,50,Marina Barrage,12,11.5,11
2014,51,Marina Barrage,15,10.5,6
2014,52,Marina Barrage,19,17.0,14
2015,1,Marina Barrage,14,14.0,14
2015,2,Marina Barrage,16,12.0,8
2015,3,Marina Barrage,21,17.0,13
2015,4,Marina Barrage,17,15.0,13
2015,5,Marina Barrage,10,10.0,10
2015,6,Marina Barrage,23,17.0,11
2015,7,Marina Barrage,19,17.5,16
2015,8,Marina Barrage,10,10.0,10
2015,9,Marina Barrage,11,10.5,10
2015,10,Marina Barrage,13,12.5,12
2015,11,Marina Barrage,15,13.0,11
2015,12,Marina Barrage,9,7.0,5
2015,13,Marina Barrage,14,9.5,5
2015,14,Marina Barrage,19,14.5,10
2015,15,Marina Barrage,14,11.0,8
2015,16,Marina Barrage,13,11.5,10
2015,17,Marina Barrage,12,9.5,7
2015,18,Marina Barrage,13,8.0,3
2015,19,Marina Barrage,15,15.0,15
2015,20,Marina Barrage,13,12.0,11
2015,21,Marina Barrage,8,6.0,4
