Year,Week,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Cases in week,population,cases_per_capita,mean_sunshine_hrs,temp_mean_daily_max,mean_relative_humidity
2014.0,1.0,155.0,155.0,57.6,0.0,6.847999999999999,30.6,42.2,52.0,26.612,32.4,23.3,7.095999999999999,72.4,436.0,5496512.0,7.932303249770036e-05,5.3,29.6,78.5
2014.0,2.0,224.0,175.5,61.8,0.0,7.931428571428571,19.4,24.4,24.8,26.55142857142857,34.0,23.2,6.460000000000001,66.2,479.0,5496512.0,8.714617561100566e-05,5.3,29.6,78.5
2014.0,3.0,211.0,202.5,1.0,0.0,0.028571428571428567,1.0,1.0,1.0,26.288571428571423,31.0,23.3,10.185714285714287,45.0,401.0,5496512.0,7.295535787059139e-05,5.3,29.6,78.5
2014.0,4.0,168.0,154.5,0.0,0.0,0.0,0.0,0.0,0.0,25.834285714285716,31.0,22.4,9.882857142857144,45.4,336.0,5496512.0,6.112967642024615e-05,5.3,29.6,78.5
2014.0,5.0,130.0,125.33333333333331,0.0,0.0,0.0,0.0,0.0,0.0,26.285714285714285,34.3,21.9,10.13714285714286,42.8,234.0,5496512.0,4.2572453221242855e-05,8.8,31.9,74.5
2014.0,6.0,130.0,117.0,40.2,0.0,1.485714285714286,37.0,40.2,40.2,26.76,34.9,22.3,8.260000000000002,51.5,273.0,5496512.0,4.966786209145e-05,8.8,31.9,74.5
2014.0,7.0,115.0,103.0,50.4,0.0,1.617142857142857,26.0,36.8,49.2,27.705714285714286,34.2,21.7,9.565714285714282,41.0,369.0,5496512.0,6.713348392580604e-05,8.8,31.9,74.5
2014.0,8.0,140.0,123.66666666666669,0.0,0.0,0.0,0.0,0.0,0.0,27.74285714285714,33.9,22.0,10.48857142857143,44.3,193.0,5496512.0,3.511317722948663e-05,8.8,31.9,74.5
2014.0,9.0,91.0,68.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,27.55619047619048,34.4,23.5,10.068571428571428,41.4,186.0,5496512.0,3.383964230406483e-05,8.0,32.8,76.0
2014.0,10.0,67.0,56.25,0.0,0.0,0.0,0.0,0.0,0.0,27.834285714285716,35.8,23.7,8.971428571428572,42.1,209.0,5496512.0,3.80241142018793e-05,8.0,32.8,76.0
