Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,avg_daily_rainfall_total,highest_60_min_rainfall,mean_temperature,range_temperature,mean_wind_speed,historical_cases_week
2014,1,Tuas South,7,7.0,7,,,,,,
2014,2,Tuas South,34,22.0,10,,,,,,
2014,3,Tuas South,26,26.0,26,,,,,,
2014,4,Tuas South,14,13.5,13,,,,,,
2014,5,Tuas South,8,7.0,6,,,,,,
2014,6,Tuas South,5,4.5,4,,,,,,
2014,7,Tuas South,15,11.0,6,,,,,,
2014,8,Tuas South,12,11.333333333333336,11,4.974285714285713,12.25,26.498571428571427,7.85,7.3707142857142856,20.5
2014,9,Tuas South,9,5.333333333333333,1,1.2142857142857142,1.7,26.539285714285718,8.075,7.903571428571428,15.5
2014,10,Tuas South,4,2.5,1,0.0,0.0,26.65714285714286,8.075000000000001,8.153571428571428,8.333333333333334
2014,11,Tuas South,5,3.333333333333333,1,2.0142857142857142,9.2,26.914285714285715,9.275000000000002,7.982142857142858,7.5
2014,12,Tuas South,6,5.0,4,2.0142857142857142,9.2,27.392857142857146,9.650000000000002,7.835714285714285,8.944444444444445
2014,13,Tuas South,0,0.0,0,2.0142857142857142,9.2,27.660714285714285,9.725000000000001,7.567857142857143,9.222222222222223
2014,14,Tuas South,3,1.5,0,2.0142857142857142,9.2,27.900000000000002,9.9,7.449999999999999,6.388888888888889
2014,15,Tuas South,4,3.0,2,0.7357142857142859,3.25,28.089285714285715,9.399999999999999,7.457142857142857,3.722222222222222
2014,16,Tuas South,5,2.5,0,4.6571428571428575,13.75,27.825,9.974999999999998,6.978571428571428,3.6111111111111107
2014,17,Tuas South,2,0.6666666666666666,0,5.092857142857143,15.4,28.04642857142857,9.625,6.567857142857142,2.7777777777777772
2014,18,Tuas South,3,3.0,3,6.278571428571429,19.05,28.13214285714286,9.825,6.317857142857143,2.1666666666666665
2014,19,Tuas South,8,4.0,0,6.271428571428571,18.45,28.096428571428575,9.575000000000001,6.15,1.5
2014,20,Tuas South,9,4.5,0,2.407142857142857,8.149999999999999,28.46785714285714,8.700000000000001,6.096428571428572,2.3333333333333335
2014,21,Tuas South,14,13.0,12,3.1999999999999997,11.05,28.33214285714286,8.3,6.050000000000001,2.055555555555556
2014,22,Tuas South,7,4.5,2,2.35,8.8,28.49285714285714,7.8500000000000005,5.953571428571429,2.0555555555555554
2014,23,Tuas South,2,1.0,0,1.8571428571428572,6.9,28.660714285714285,7.550000000000001,5.503571428571428,2.5555555555555554
2014,24,Tuas South,5,3.5,2,4.814285714285715,19.2,28.67857142857143,7.700000000000001,5.835714285714286,3.8333333333333335
