Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Max PSI West,Avg PSI West
2014,1,Tuas South,7.0,7.0,7.0,57.6,0.0,15.039999999999996,30.6,42.2,52.0,26.579999999999995,32.0,23.3,6.339999999999999,72.4,,
2014,2,Tuas South,34.0,22.0,10.0,21.2,0.0,4.857142857142857,5.0,6.8,9.6,26.642857142857146,31.7,23.2,6.7,66.2,,
2014,3,Tuas South,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,26.58571428571429,30.9,23.8,8.142857142857142,28.1,,
2014,4,Tuas South,14.0,13.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,26.185714285714287,30.5,23.4,8.299999999999999,27.7,,
2014,5,Tuas South,8.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,26.742857142857147,32.7,23.1,8.471428571428572,30.2,,
2014,6,Tuas South,5.0,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27.114285714285717,32.2,23.7,7.7,25.9,,
2014,7,Tuas South,15.0,11.0,6.0,50.4,0.0,8.057142857142857,26.0,36.8,49.2,27.614285714285717,33.6,21.7,7.457142857142857,36.0,,
2014,8,Tuas South,12.0,11.333333333333336,11.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,33.6,25.0,7.7142857142857135,33.5,,
2014,9,Tuas South,9.0,5.333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.814285714285717,33.9,24.0,7.4,27.7,,
2014,10,Tuas South,4.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.07142857142857,33.4,24.2,7.228571428571428,27.0,,
2014,11,Tuas South,5.0,3.333333333333333,1.0,20.6,0.0,2.9428571428571435,8.4,13.0,16.2,28.37142857142857,34.3,24.4,7.485714285714287,32.8,,
2014,12,Tuas South,6.0,5.0,4.0,57.4,0.0,15.685714285714285,30.8,42.0,45.4,27.042857142857148,34.5,23.6,5.799999999999999,38.2,,
2014,13,Tuas South,0.0,0.0,0.0,6.6,0.0,1.7428571428571429,6.2,6.6,6.6,28.7,34.0,25.5,5.757142857142857,25.9,,
2014,14,Tuas South,3.0,1.5,0.0,23.2,0.0,4.742857142857143,12.0,14.6,17.2,28.414285714285718,34.2,24.2,6.2285714285714295,37.8,,
2014,15,Tuas South,4.0,3.0,2.0,10.8,0.0,2.914285714285714,10.6,10.6,10.8,28.228571428571428,33.2,24.3,6.814285714285715,32.8,,
2014,16,Tuas South,5.0,2.5,0.0,0.8,0.0,0.2285714285714286,0.8,0.8,0.8,28.52857142857143,33.0,25.6,5.585714285714286,37.8,,
2014,17,Tuas South,2.0,0.6666666666666666,0.0,18.2,0.0,4.914285714285714,18.0,18.2,18.2,28.157142857142862,32.1,25.2,5.571428571428571,42.8,,
2014,18,Tuas South,3.0,3.0,3.0,6.8,0.0,1.342857142857143,4.4,5.6,6.4,29.057142857142853,33.5,25.3,5.842857142857143,61.2,,
2014,19,Tuas South,8.0,4.0,0.0,3.0,0.0,0.9428571428571428,2.4,3.0,3.0,28.9,33.1,25.4,5.014285714285714,31.0,,
2014,20,Tuas South,9.0,4.5,0.0,66.8,0.0,12.057142857142859,33.4,50.0,64.8,28.6,32.0,24.0,6.914285714285714,44.3,,
2014,21,Tuas South,14.0,13.0,12.0,29.6,0.0,6.9142857142857155,17.4,25.6,28.0,28.4,32.9,23.3,5.357142857142857,30.2,,
2014,22,Tuas South,7.0,4.5,2.0,19.0,0.0,7.885714285714287,12.4,16.8,16.8,28.62857142857143,32.4,24.7,7.257142857142857,34.6,,
2014,23,Tuas South,2.0,1.0,0.0,18.0,0.0,4.514285714285714,6.0,6.0,10.2,28.8,33.0,24.5,5.957142857142857,49.7,,
2014,24,Tuas South,5.0,3.5,2.0,25.2,0.0,6.828571428571428,20.2,23.2,24.0,29.642857142857146,33.5,23.7,6.571428571428571,88.6,,
