Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks
2014,1,Tuas South,7,7.0,7
2014,2,Tuas South,34,22.0,10
2014,3,Tuas South,26,26.0,26
2014,4,Tuas South,14,13.5,13
2014,5,Tuas South,8,7.0,6
2014,6,Tuas South,5,4.5,4
2014,7,Tuas South,15,11.0,6
2014,8,Tuas South,12,11.333333333333336,11
2014,9,Tuas South,9,5.333333333333333,1
2014,10,Tuas South,4,2.5,1
2014,11,Tuas South,5,3.333333333333333,1
2014,12,Tuas South,6,5.0,4
2014,13,Tuas South,0,0.0,0
2014,14,Tuas South,3,1.5,0
2014,15,Tuas South,4,3.0,2
2014,16,Tuas South,5,2.5,0
2014,17,Tuas South,2,0.6666666666666666,0
2014,18,Tuas South,3,3.0,3
2014,19,Tuas South,8,4.0,0
2014,20,Tuas South,9,4.5,0
2014,21,Tuas South,14,13.0,12
2014,22,Tuas South,7,4.5,2
2014,23,Tuas South,2,1.0,0
2014,24,Tuas South,5,3.5,2
2014,25,Tuas South,6,4.0,2
2014,26,Tuas South,6,3.0,0
2014,27,Tuas South,8,5.0,2
2014,28,Tuas South,15,12.5,10
2014,29,Tuas South,15,10.5,6
2014,30,Tuas South,5,5.0,5
2014,31,Tuas South,5,4.0,3
2014,32,Tuas South,14,10.0,6
2014,33,Tuas South,9,5.5,2
2014,34,Tuas South,8,7.0,6
2014,35,Tuas South,7,4.0,1
2014,36,Tuas South,8,7.0,6
2014,37,Tuas South,8,5.0,2
2014,38,Tuas South,3,2.5,2
2014,39,Tuas South,12,7.5,3
2014,40,Tuas South,22,15.5,9
2014,41,Tuas South,20,18.5,17
2014,42,Tuas South,17,14.5,12
2014,43,Tuas South,10,9.0,8
2014,44,Tuas South,4,4.0,4
2014,45,Tuas South,1,0.5,0
2014,46,Tuas South,1,0.5,0
2014,47,Tuas South,1,1.0,1
2014,48,Tuas South,3,2.0,1
2014,49,Tuas South,5,4.0,3
2014,50,Tuas South,2,1.5,1
2014,51,Tuas South,4,3.5,3
2014,52,Tuas South,2,1.0,0
2015,1,Tuas South,1,1.0,1
2015,2,Tuas South,12,10.5,9
2015,3,Tuas South,9,7.5,6
2015,4,Tuas South,4,3.5,3
2015,5,Tuas South,6,4.5,3
2015,6,Tuas South,10,7.0,4
2015,7,Tuas South,6,5.0,4
2015,8,Tuas South,1,1.0,1
2015,9,Tuas South,2,1.0,0
2015,10,Tuas South,4,3.0,2
2015,11,Tuas South,5,2.5,0
2015,12,Tuas South,2,1.0,0
2015,13,Tuas South,2,1.5,1
2015,14,Tuas South,2,1.0,0
2015,15,Tuas South,2,1.5,1
2015,16,Tuas South,1,0.5,0
2015,17,Tuas South,0,0.0,0
