year,month,week,number,population,cases_per_capita,mean_sunshine_hrs,temp_mean_daily_max
2014,1,1,436.0,4823625,9.038845266785871e-05,5.3,29.6
2014,1,2,479.0,4823625,9.930291015574387e-05,5.3,29.6
2014,1,3,401.0,4823625,8.313249889864988e-05,5.3,29.6
2014,1,4,336.0,4823625,6.965715618440489e-05,5.3,29.6
2014,2,5,234.0,4823625,4.851123377128197e-05,8.8,31.9
2014,2,6,273.0,4823625,5.6596439399828966e-05,8.8,31.9
2014,2,7,369.0,4823625,7.649848402394465e-05,8.8,31.9
2014,2,8,193.0,4823625,4.00114022130659e-05,8.8,31.9
2014,3,9,186.0,4823625,3.856021145922413e-05,8.0,32.8
2014,3,10,209.0,4823625,4.3328409650418516e-05,8.0,32.8
2014,3,11,224.0,4823625,4.643810412293659e-05,8.0,32.8
2014,3,12,210.0,4823625,4.353572261525305e-05,8.0,32.8
2014,4,13,225.0,4823625,4.6645417087771125e-05,5.7,32.4
2014,4,14,240.0,4823625,4.97551115602892e-05,5.7,32.4
2014,4,15,244.0,4823625,5.0584363419627354e-05,5.7,32.4
2014,4,16,235.0,4823625,4.871854673611651e-05,5.7,32.4
2014,4,17,282.0,4823625,5.846225608333981e-05,5.7,32.4
2014,5,18,251.0,4823625,5.203555417346912e-05,5.8,32.1
2014,5,19,261.0,4823625,5.4108683821814506e-05,5.8,32.1
2014,5,20,291.0,4823625,6.032807276685066e-05,5.8,32.1
2014,5,21,427.0,4823625,8.852263598434787e-05,5.8,32.1
2014,6,22,456.0,4823625,9.453471196454948e-05,6.0,32.1
2014,6,23,458.0,4823625,9.494933789421856e-05,6.0,32.1
2014,6,24,506.0,4823625,0.0001049003602062764,6.0,32.1
2014,6,25,550.0,4823625,0.00011402213065899609,6.0,32.1
2014,7,26,671.0,4823625,0.00013910699940397522,5.5,31.6
2014,7,27,888.0,4823625,0.00018409391277307005,5.5,31.6
2014,7,28,818.0,4823625,0.00016958200523465236,5.5,31.6
2014,7,29,744.0,4823625,0.00015424084583689652,5.5,31.6
2014,7,30,633.0,4823625,0.00013122910674026277,5.5,31.6
2014,8,31,484.0,4823625,0.00010033947497991655,4.5,30.4
2014,8,32,545.0,4823625,0.00011298556583482339,4.5,30.4
2014,8,33,438.0,4823625,9.08030785975278e-05,4.5,30.4
2014,8,34,418.0,4823625,8.665681930083703e-05,4.5,30.4
2014,9,35,367.0,4823625,7.608385809427558e-05,7.0,31.8
2014,9,36,339.0,4823625,7.02790950789085e-05,7.0,31.8
2014,9,37,362.0,4823625,7.504729327010288e-05,7.0,31.8
2014,9,38,396.0,4823625,8.209593407447718e-05,7.0,31.8
2014,10,39,344.0,4823625,7.131565990308119e-05,6.0,32.1
2014,10,40,339.0,4823625,7.02790950789085e-05,6.0,32.1
2014,10,41,278.0,4823625,5.763300422400166e-05,6.0,32.1
2014,10,42,297.0,4823625,6.157195055585789e-05,6.0,32.1
2014,10,43,213.0,4823625,4.4157661509756665e-05,6.0,32.1
2014,11,44,186.0,4823625,3.856021145922413e-05,5.4,31.6
2014,11,45,168.0,4823625,3.4828578092202444e-05,5.4,31.6
2014,11,46,158.0,4823625,3.2755448443857055e-05,5.4,31.6
2014,11,47,149.0,4823625,3.0889631760346214e-05,5.4,31.6
2014,12,48,162.0,4823625,3.358470030319521e-05,3.7,30.6
2014,12,49,212.0,4823625,4.395034854492213e-05,3.7,30.6
2014,12,50,177.0,4823625,3.6694394775713284e-05,3.7,30.6
2014,12,51,198.0,4823625,4.104796703723859e-05,3.7,30.6
2014,12,52,188.0,4823625,3.897483738889321e-05,3.7,30.6
