Station,Year,Month,Week,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2014,1,1,1,0,0,0,0,27.1,29.6,25.4,9.7,32
Marina Barrage,2014,1,1,2,0,0,0,0,27.8,31.1,25.7,9.6,31.3
Marina Barrage,2014,1,1,3,0,0,0,0,27.6,31.9,25.8,9,29.5
Marina Barrage,2014,1,1,4,21.8,15.6,17.6,17.8,26.7,31.9,24.1,5,27.4
Marina Barrage,2014,1,1,5,13,4.4,6,8.2,25.5,27.3,23.8,7.4,31
Marina Barrage,2014,1,2,6,20.8,2.6,4.6,7.2,25.6,27.1,24.1,5.6,44.3
Marina Barrage,2014,1,2,7,0.4,0.4,0.4,0.4,27.1,32.1,24.8,6.1,22
Marina Barrage,2014,1,2,8,0,0,0,0,28,33.8,25.2,9.3,34.6
Marina Barrage,2014,1,2,9,1,0.8,0.8,0.8,26.8,31.1,24.8,5.6,27.7
Marina Barrage,2014,1,2,10,0,0,0,0,27.6,32.2,24.8,4.7,20.5
Marina Barrage,2014,1,2,11,25,19.4,22,24.8,27.5,34,24.5,9.8,36.4
Marina Barrage,2014,1,2,12,1.4,1.4,1.4,1.4,26.7,29.1,25.3,11,37.4
Marina Barrage,2014,1,3,13,0,0,0,0,27.1,29.7,25.4,12.7,36.7
Marina Barrage,2014,1,3,14,0,0,0,0,26.9,31,24.9,11.2,38.2
Marina Barrage,2014,1,3,15,1,1,1,1,26.1,28.2,24.9,11.2,33.8
Marina Barrage,2014,1,3,16,0,0,0,0,26.2,28.9,24.5,12.4,35.6
Marina Barrage,2014,1,3,17,0,0,0,0,26.4,30.3,24.4,14.6,39.2
Marina Barrage,2014,1,3,18,0,0,0,0,26.4,29.4,24.7,13.5,45
Marina Barrage,2014,1,3,19,0,0,0,0,26.4,29.1,24.4,11.7,37.1
Marina Barrage,2014,1,4,20,0,0,0,0,26.4,31,24.4,13.7,37.8
Marina Barrage,2014,1,4,21,0,0,0,0,26.1,30.5,24.4,13.2,35.6
Marina Barrage,2014,1,4,22,0,0,0,0,26,29.3,24.3,12.9,34.6
Marina Barrage,2014,1,4,23,0,0,0,0,26,29.2,24.3,12.7,36.4
Marina Barrage,2014,1,4,24,0,0,0,0,26,29.2,24.3,12.8,45.4
Marina Barrage,2014,1,4,25,0,0,0,0,26.1,29.5,24.1,10.6,32.8
Marina Barrage,2014,1,4,26,0,0,0,0,26,29.5,23.9,10.2,33.5
Marina Barrage,2014,1,5,27,0,0,0,0,26.1,29.6,23.9,12.5,37.4
Marina Barrage,2014,1,5,28,0,0,0,0,26.6,30,24.5,11.9,34.2
Marina Barrage,2014,1,5,29,0,0,0,0,26.8,30.7,24.5,12.9,36.4
Marina Barrage,2014,1,5,30,0,0,0,0,26.4,30.6,24,12,37.4
Marina Barrage,2014,1,5,31,0,0,0,0,26.6,31.6,23.9,12.5,34.6
Marina Barrage,2014,2,5,1,0,0,0,0,26.9,34.3,23.7,11.2,32.8
Marina Barrage,2014,2,5,2,0,0,0,0,26.4,31.6,23.9,9.9,34.9
Marina Barrage,2014,2,6,3,0,0,0,0,26.8,33,24.1,8.4,25.9
Marina Barrage,2014,2,6,4,0,0,0,0,27,33.4,24.3,8.5,24.8
Marina Barrage,2014,2,6,5,0,0,0,0,26.9,34.9,24.1,10,29.2
Marina Barrage,2014,2,6,6,0,0,0,0,27,32.9,24.2,9.7,29.5
Marina Barrage,2014,2,6,7,0,0,0,0,27,32.9,24.9,9.1,27
Marina Barrage,2014,2,6,8,0,0,0,0,27.2,32.6,24.7,7.6,23.8
Marina Barrage,2014,2,6,9,3,3,3,3,27.3,31,25.2,7.4,23
Marina Barrage,2014,2,7,10,0,0,0,0,28,33.7,25.3,6.6,25.6
Marina Barrage,2014,2,7,11,0,0,0,0,28.2,34.2,25.7,10,31
Marina Barrage,2014,2,7,12,0,0,0,0,27.7,32.7,25,10.8,35.6
Marina Barrage,2014,2,7,13,0,0,0,0,28.2,34.2,25.8,11.6,34.6
Marina Barrage,2014,2,7,14,0,0,0,0,27.9,31.5,25.7,11.4,35.6
Marina Barrage,2014,2,7,15,0,0,0,0,27.8,31.6,25.5,12.6,34.6
Marina Barrage,2014,2,7,16,0,0,0,0,27.9,31.9,25.6,11,31.3
Marina Barrage,2014,2,8,17,0,0,0,0,27.8,31.5,25.7,11.6,34.6
Marina Barrage,2014,2,8,18,0,0,0,0,28,32.4,25.6,10.4,33.1
Marina Barrage,2014,2,8,19,0,0,0,0,28,32.4,25.4,9.2,28.4
Marina Barrage,2014,2,8,20,0,0,0,0,27.9,31.6,25.6,11.7,35.6
