Year,Week,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2014.0,1.0,8.8,0.0,3.4800000000000004,8.6,8.8,8.8,26.160000000000004,30.9,23.3,6.38,32.0
2014.0,2.0,40.0,0.0,7.028571428571428,8.4,9.4,13.8,26.157142857142855,31.8,23.3,5.657142857142857,35.6
2014.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,25.74285714285714,29.4,23.3,9.328571428571427,41.4
2014.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.342857142857138,29.3,22.5,9.157142857142858,38.9
2014.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,25.728571428571428,31.6,22.2,8.9,40.7
2014.0,6.0,8.4,0.0,1.2,5.2,5.4,8.2,26.3,32.5,22.8,6.9142857142857155,31.0
2014.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,27.314285714285717,33.3,24.1,8.328571428571427,39.6
2014.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,27.214285714285715,32.6,24.2,9.257142857142856,43.2
2014.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,27.066666666666666,33.6,23.5,8.8,41.0
2014.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,27.41428571428571,34.1,23.7,7.814285714285715,37.1
2014.0,11.0,43.4,0.0,6.2,14.4,16.0,16.0,27.557142857142857,34.7,23.9,7.942857142857142,38.5
2014.0,12.0,11.2,0.0,3.7142857142857144,10.8,10.8,10.8,26.82857142857143,32.8,23.8,5.642857142857143,33.5
2014.0,13.0,7.8,0.0,2.257142857142857,7.6,7.8,7.8,28.228571428571428,33.7,24.7,6.614285714285714,36.4
2014.0,14.0,36.8,0.0,5.371428571428572,13.0,15.8,25.0,28.357142857142858,34.4,23.3,5.5,37.4
2014.0,15.0,14.2,0.0,4.171428571428572,10.4,12.2,14.2,27.857142857142858,34.6,22.9,4.557142857142858,34.2
2014.0,16.0,21.2,0.0,6.285714285714286,17.4,18.8,21.2,28.057142857142857,34.3,23.0,4.5285714285714285,38.5
2014.0,17.0,19.0,0.0,5.885714285714286,15.8,18.6,18.8,28.0,34.9,24.1,4.071428571428571,34.2
2014.0,18.0,28.0,0.0,4.4,27.0,28.0,28.0,28.942857142857147,34.8,24.4,4.771428571428571,34.6
2014.0,19.0,42.2,0.0,9.200000000000001,30.4,36.8,37.2,28.77142857142857,34.5,22.7,4.785714285714286,41.4
2014.0,20.0,38.0,0.0,11.857142857142858,22.2,34.2,38.0,28.5,34.3,23.4,4.8999999999999995,44.3
2014.0,21.0,23.2,0.0,7.0,17.4,22.8,23.0,27.985714285714288,33.6,22.9,4.828571428571429,33.1
2014.0,22.0,10.8,0.0,3.9142857142857146,8.8,8.8,8.8,28.442857142857147,34.0,25.1,4.885714285714286,45.0
2014.0,23.0,32.6,0.0,7.828571428571429,15.2,20.6,30.2,28.3,33.7,24.1,5.328571428571428,45.7
2014.0,24.0,13.6,0.0,3.228571428571428,8.8,11.2,13.4,29.37142857142857,35.0,22.5,5.328571428571428,50.0
2014.0,25.0,11.8,0.0,2.2857142857142856,11.4,11.8,11.8,30.157142857142855,34.8,23.7,6.585714285714286,43.6
2014.0,26.0,16.8,0.0,5.714285714285714,15.8,15.8,16.8,29.157142857142855,33.7,22.3,5.514285714285714,48.6
2014.0,27.0,26.2,0.0,4.514285714285714,15.2,24.4,26.2,28.300000000000004,32.9,22.8,4.614285714285715,34.6
2014.0,28.0,34.6,0.0,10.028571428571428,31.2,33.6,34.0,28.08571428571429,33.2,21.8,5.714285714285714,49.0
2014.0,29.0,5.4,0.0,0.8,5.2,5.2,5.4,29.385714285714283,33.4,22.7,6.157142857142857,34.9
