Year,Week,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2014.0,1.0,18.4,0.0,3.6799999999999997,8.6,10.8,15.4,26.619999999999997,31.1,23.3,8.959999999999999,36.0
2014.0,2.0,31.2,0.0,8.142857142857142,18.2,18.2,18.2,26.37142857142857,31.8,23.7,7.514285714285713,34.9
2014.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26.242857142857144,30.3,23.5,13.214285714285714,40.0
2014.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,29.4,22.7,12.285714285714286,41.4
2014.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26.057142857142857,31.6,22.4,13.671428571428573,42.8
2014.0,6.0,0.2,0.0,0.028571428571428574,0.2,0.2,0.2,26.585714285714285,32.7,22.9,11.685714285714285,34.2
2014.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,27.71428571428572,33.8,24.8,13.942857142857141,41.0
2014.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,32.6,24.4,15.214285714285714,42.8
2014.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,27.514285714285712,33.8,24.0,14.685714285714285,41.4
2014.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,27.657142857142855,33.5,23.8,12.700000000000001,42.1
2014.0,11.0,52.6,0.0,7.514285714285714,20.4,26.2,37.8,27.971428571428568,34.1,23.6,13.085714285714285,41.4
2014.0,12.0,5.4,0.0,1.8571428571428572,3.6,4.4,5.2,27.428571428571427,33.6,24.2,9.028571428571428,36.0
2014.0,13.0,0.4,0.0,0.05714285714285715,0.4,0.4,0.4,28.571428571428573,34.4,24.7,10.728571428571428,37.1
2014.0,14.0,23.4,0.0,3.657142857142857,15.2,17.2,17.4,28.32857142857143,34.2,22.8,8.685714285714285,43.2
2014.0,15.0,10.0,0.0,4.171428571428572,9.8,10.0,10.0,27.800000000000004,34.5,23.9,6.757142857142857,43.2
2014.0,16.0,28.8,0.0,4.171428571428572,21.2,26.4,28.8,28.471428571428568,33.4,23.5,7.214285714285714,33.1
2014.0,17.0,5.2,0.0,1.0857142857142859,2.0,3.2,5.0,28.342857142857138,34.4,24.7,7.028571428571428,40.3
2014.0,18.0,13.4,0.0,2.8857142857142852,8.2,10.2,13.4,28.857142857142858,33.7,24.5,7.1571428571428575,35.3
2014.0,19.0,18.4,0.0,4.371428571428571,10.0,13.6,14.6,28.928571428571427,33.8,24.3,7.3,37.8
2014.0,20.0,22.2,0.0,8.085714285714285,18.2,20.2,20.2,28.457142857142856,33.1,23.0,5.957142857142857,42.5
2014.0,21.0,7.2,0.0,2.2285714285714286,3.8,5.0,5.2,27.98571428571429,32.6,23.2,7.1571428571428575,34.6
2014.0,22.0,18.0,0.0,5.6000000000000005,17.2,17.2,17.2,28.442857142857143,32.7,24.2,6.757142857142857,42.1
2014.0,23.0,8.8,0.0,2.8000000000000003,3.2,3.4,4.2,28.41428571428571,32.6,25.3,8.3,39.6
2014.0,24.0,18.8,0.0,3.542857142857143,16.4,18.4,18.6,29.2,33.0,23.0,7.257142857142857,60.5
2014.0,25.0,3.2,0.0,0.7999999999999999,2.4,3.0,3.2,29.871428571428574,33.6,23.9,8.985714285714286,43.9
2014.0,26.0,1.0,0.0,0.14285714285714285,0.8,1.0,1.0,29.0,33.2,25.2,7.271428571428571,39.6
2014.0,27.0,19.4,0.0,3.5714285714285716,18.0,19.0,19.0,28.257142857142856,32.6,23.9,6.385714285714285,44.3
2014.0,28.0,26.8,0.0,7.971428571428571,24.6,25.6,26.4,28.17142857142857,32.1,22.6,7.685714285714285,59.8
2014.0,29.0,7.8,0.0,1.2,7.6,7.8,7.8,29.157142857142862,32.5,23.4,9.857142857142858,46.4
2014.0,30.0,27.8,0.0,3.9714285714285715,15.4,27.0,27.6,29.471428571428568,33.2,23.2,11.442857142857141,35.6
2014.0,31.0,29.0,0.0,6.542857142857143,18.4,18.8,19.4,28.27142857142857,32.0,21.1,8.471428571428572,70.6
2014.0,32.0,9.2,0.0,2.8857142857142857,9.2,9.2,9.2,27.8,31.7,23.6,8.814285714285715,52.9
2014.0,33.0,41.2,0.0,6.514285714285714,33.6,37.8,39.8,27.271428571428572,30.8,23.5,7.528571428571429,40.3
2014.0,34.0,12.0,0.0,3.542857142857143,9.8,10.2,10.2,28.128571428571426,31.9,24.7,10.157142857142858,46.8
