Year,Week,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2014.0,1.0,19.8,0.0,5.08,17.2,17.6,19.8,26.76,32.4,23.7,5.660000000000001,29.2
2014.0,2.0,61.8,0.0,12.685714285714283,16.8,24.4,24.6,26.542857142857144,32.7,23.5,4.985714285714286,32.4
2014.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26.371428571428567,30.8,23.4,7.771428571428571,34.6
2014.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.85714285714286,30.6,22.4,7.371428571428571,31.7
2014.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26.357142857142858,33.0,21.9,7.800000000000002,36.0
2014.0,6.0,40.2,0.0,5.771428571428572,37.0,40.2,40.2,26.77142857142857,33.6,22.3,6.328571428571428,51.5
2014.0,7.0,0.2,0.0,0.028571428571428574,0.2,0.2,0.2,27.928571428571427,34.1,22.5,7.528571428571429,36.4
2014.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,27.842857142857138,33.9,24.5,8.642857142857144,37.1
2014.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,27.728571428571428,34.4,23.8,8.357142857142858,38.2
2014.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,28.042857142857144,35.8,23.8,7.385714285714286,31.0
2014.0,11.0,26.0,0.0,3.7142857142857144,7.0,7.0,9.8,28.199999999999996,35.2,24.4,7.728571428571428,39.6
2014.0,12.0,41.6,0.0,22.733333333333334,36.2,41.2,41.6,26.5,33.3,23.4,4.783333333333334,36.0
2014.0,13.0,30.8,0.0,4.828571428571428,25.2,30.8,30.8,28.666666666666668,34.9,24.2,6.557142857142858,30.6
2014.0,14.0,9.2,0.0,2.657142857142857,8.6,9.2,9.2,28.271428571428572,34.7,24.2,4.742857142857143,28.4
2014.0,15.0,20.4,0.0,5.542857142857143,14.2,19.8,19.8,27.7,34.6,22.8,4.128571428571428,31.3
2014.0,16.0,11.8,0.2,5.057142857142857,10.6,11.4,11.8,27.585714285714285,35.3,23.2,3.7285714285714286,36.0
2014.0,17.0,5.4,0.0,1.7285714285714289,2.5,3.8,5.2,27.357142857142858,35.2,23.8,3.842857142857143,35.6
2014.0,18.0,16.2,0.0,3.457142857142857,15.0,15.0,15.2,28.17142857142857,34.4,24.0,4.0,36.4
2014.0,19.0,32.2,0.0,12.657142857142857,21.8,32.2,32.2,28.085714285714285,34.6,23.4,3.971428571428572,37.4
2014.0,20.0,10.4,0.0,4.428571428571428,6.2,9.6,10.2,27.542857142857144,33.7,23.2,3.9857142857142853,33.5
2014.0,21.0,38.8,0.0,9.37142857142857,18.0,34.8,38.8,27.44285714285714,34.7,22.8,4.1,32.4
2014.0,22.0,25.4,0.0,7.657142857142857,21.6,25.4,25.4,27.814285714285713,33.6,24.6,4.157142857142857,32.4
2014.0,23.0,42.4,0.2,12.114285714285714,20.0,27.4,38.0,27.599999999999998,33.6,23.7,3.942857142857143,33.8
2014.0,24.0,14.0,0.0,4.085714285714286,12.0,13.8,14.0,28.571428571428577,34.5,22.8,4.385714285714285,45.0
2014.0,25.0,11.8,0.0,2.6000000000000005,10.8,10.8,11.4,29.471428571428568,34.4,22.9,5.328571428571429,33.5
2014.0,26.0,10.2,0.0,2.657142857142857,5.8,7.4,10.2,28.02857142857143,33.7,22.7,4.5285714285714285,41.0
2014.0,27.0,19.4,0.0,4.6571428571428575,15.8,17.8,19.2,27.44285714285714,33.1,22.9,4.228571428571429,30.6
2014.0,28.0,50.4,0.0,17.857142857142858,40.4,49.4,50.0,27.385714285714283,33.3,21.7,4.614285714285714,36.0
2014.0,29.0,9.2,0.0,1.3142857142857143,8.8,9.2,9.2,28.657142857142862,34.5,22.9,4.814285714285714,32.4
2014.0,30.0,16.2,0.0,2.314285714285714,14.4,16.0,16.0,29.085714285714285,33.6,22.5,5.814285714285715,37.1
2014.0,31.0,27.6,0.0,8.057142857142859,25.4,27.6,27.6,27.4,33.2,23.3,4.742857142857143,39.6
2014.0,32.0,15.0,0.0,5.3428571428571425,12.6,12.6,12.6,27.385714285714283,32.7,23.2,5.171428571428572,40.7
2014.0,33.0,50.6,0.0,8.142857142857142,34.8,45.0,45.4,26.45714285714286,32.2,23.3,4.071428571428571,24.1
2014.0,34.0,3.6,0.0,1.4285714285714288,3.2,3.2,3.6,27.38571428571429,32.7,24.4,4.3,29.5
2014.0,35.0,26.8,0.6,11.371428571428572,20.4,24.4,26.8,26.157142857142855,32.6,22.0,3.8285714285714283,29.9
