Year,Week,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2014.0,1.0,57.6,0.0,6.847999999999999,30.6,42.2,52.0,26.612000000000002,32.4,23.3,7.095999999999999,72.4
2014.0,2.0,61.8,0.0,7.931428571428571,19.4,24.4,24.8,26.551428571428573,34.0,23.2,6.460000000000001,66.2
2014.0,3.0,1.0,0.0,0.02857142857142857,1.0,1.0,1.0,26.288571428571423,31.0,23.3,10.185714285714287,45.0
2014.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.834285714285716,31.0,22.4,9.882857142857143,45.4
2014.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26.285714285714285,34.3,21.9,10.137142857142859,42.8
2014.0,6.0,40.2,0.0,1.485714285714286,37.0,40.2,40.2,26.76,34.9,22.3,8.260000000000002,51.5
2014.0,7.0,50.4,0.0,1.617142857142857,26.0,36.8,49.2,27.705714285714286,34.2,21.7,9.565714285714284,41.0
2014.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,27.74285714285714,33.9,22.0,10.48857142857143,44.3
2014.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,27.556190476190476,34.4,23.5,10.068571428571428,41.4
2014.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,27.83428571428571,35.8,23.7,8.971428571428572,42.1
2014.0,11.0,52.6,0.0,4.960000000000001,20.4,26.2,37.8,28.054285714285715,35.2,23.6,9.222857142857142,75.2
2014.0,12.0,71.6,0.0,12.718095238095238,52.8,63.6,71.4,27.054285714285715,34.5,23.4,6.382380952380953,40.7
2014.0,13.0,30.8,0.0,1.777142857142857,25.2,30.8,30.8,28.61904761904762,34.9,24.2,7.488571428571428,37.1
2014.0,14.0,36.8,0.0,4.114285714285715,15.2,17.2,25.0,28.451428571428572,34.7,22.8,6.211428571428571,85.0
2014.0,15.0,20.4,0.0,3.868571428571429,14.2,19.8,19.8,28.011428571428574,34.6,22.8,5.482857142857144,43.2
2014.0,16.0,46.0,0.0,4.982857142857143,37.8,45.2,46.0,28.32,35.3,23.0,5.157142857142857,46.1
2014.0,17.0,53.6,0.0,4.98,44.0,51.2,53.6,28.162857142857142,35.2,23.8,5.034285714285714,42.8
2014.0,18.0,50.4,0.0,3.942857142857142,27.0,36.2,42.4,28.919999999999998,34.8,24.0,5.305714285714286,61.2
2014.0,19.0,42.2,0.0,5.617142857142857,30.4,36.8,37.2,28.905714285714282,34.6,22.7,5.148571428571428,41.4
2014.0,20.0,66.8,0.0,8.708571428571428,33.4,50.0,64.8,28.439999999999998,34.3,23.0,5.277142857142858,44.3
2014.0,21.0,38.8,0.0,5.6,18.0,34.8,38.8,28.10857142857143,34.7,22.8,5.182857142857143,36.7
2014.0,22.0,25.4,0.0,5.771428571428571,21.6,25.4,25.4,28.502857142857142,34.0,24.2,5.491428571428571,45.0
2014.0,23.0,42.4,0.0,5.8342857142857145,20.0,27.4,38.0,28.445714285714285,33.7,23.7,5.657142857142857,49.7
2014.0,24.0,25.2,0.0,3.7942857142857145,20.2,23.2,24.0,29.33380952380952,35.0,22.5,5.6,88.6
2014.0,25.0,23.4,0.0,2.4857142857142858,13.0,18.6,22.6,29.974285714285713,34.8,22.9,6.634285714285714,52.2
2014.0,26.0,25.2,0.0,3.331428571428572,21.0,23.6,25.0,28.91428571428571,33.7,22.3,5.805714285714285,53.3
2014.0,27.0,35.0,0.0,5.08,24.4,31.8,34.8,28.291428571428572,33.4,22.8,5.205714285714285,69.1
2014.0,28.0,50.4,0.0,9.588571428571429,40.4,49.4,50.0,28.194285714285712,33.6,21.7,6.071428571428571,59.8
2014.0,29.0,22.4,0.0,1.7714285714285711,22.0,22.2,22.2,29.29714285714286,34.5,22.3,6.319999999999999,56.5
2014.0,30.0,27.8,0.0,2.428571428571429,15.8,27.0,27.6,29.61714285714286,34.6,22.5,7.237142857142857,100.1
2014.0,31.0,72.0,0.0,9.131428571428572,35.6,63.4,72.0,28.262857142857143,33.2,21.1,6.222857142857142,70.6
2014.0,32.0,15.0,0.0,2.9485714285714284,12.6,12.6,12.6,27.96857142857143,33.7,23.2,6.622857142857143,52.9
2014.0,33.0,60.2,0.0,7.685714285714286,37.2,46.2,46.2,27.277142857142856,32.7,22.9,5.505714285714286,40.3
2014.0,34.0,24.0,0.0,3.4057142857142857,17.4,19.0,24.0,28.11428571428571,33.0,23.8,6.157142857142857,46.8
2014.0,35.0,44.2,0.0,9.845714285714285,36.4,41.4,42.4,27.008571428571436,32.8,22.0,5.285714285714286,53.3
2014.0,36.0,59.4,0.0,4.857142857142858,42.2,56.0,59.4,28.060000000000002,34.1,22.3,6.2457142857142856,49.0
2014.0,37.0,63.4,0.0,3.3028571428571425,28.6,35.0,40.8,28.562857142857144,33.7,22.9,6.5,43.6
2014.0,38.0,45.8,0.0,4.828571428571428,29.8,31.4,31.4,28.728571428571435,33.4,22.4,7.262857142857143,69.5
2014.0,39.0,23.4,0.0,3.994285714285714,13.0,14.4,20.8,28.668571428571425,34.7,22.8,6.68,61.6
2014.0,40.0,38.6,0.0,1.6628571428571426,32.2,38.4,38.6,28.78571428571429,34.4,23.4,6.854285714285714,74.9
2014.0,41.0,0.4,0.0,0.02285714285714286,0.4,0.4,0.4,29.12761904761905,34.3,24.7,6.459999999999999,36.4
2014.0,42.0,32.6,0.0,4.064761904761904,15.4,27.2,29.6,28.231904761904765,34.6,23.4,5.102380952380953,42.8
2014.0,43.0,69.8,0.0,4.354285714285714,31.2,56.2,60.0,28.342857142857138,34.3,22.9,5.19142857142857,35.3
2014.0,44.0,68.4,0.0,7.897142857142858,43.6,61.6,67.8,28.47142857142857,34.5,22.2,5.12,47.2
2014.0,45.0,62.2,0.0,13.76,30.8,37.4,41.2,27.911428571428576,34.5,22.5,5.751428571428572,49.7
2014.0,46.0,92.6,0.0,14.811428571428573,68.2,90.6,92.6,27.074285714285715,34.5,22.2,5.005714285714286,83.9
2014.0,47.0,50.0,0.0,7.034285714285714,46.4,47.8,48.0,27.102857142857147,33.6,23.1,4.845714285714285,95.4
2014.0,48.0,58.2,0.0,9.708571428571428,36.4,46.8,57.0,27.417142857142856,33.3,22.5,5.002857142857144,42.8
2014.0,49.0,78.2,0.0,13.685714285714287,33.0,53.2,70.6,27.408571428571427,34.1,22.3,5.008571428571429,58.3
2014.0,50.0,45.6,0.0,4.742857142857143,30.6,37.8,40.6,27.908571428571427,33.5,23.8,6.748571428571429,36.7
2014.0,51.0,73.4,0.0,13.885714285714286,47.2,68.4,73.2,26.834285714285716,34.1,23.1,5.857142857142857,57.2
2014.0,52.0,67.4,0.0,8.696000000000002,30.6,35.2,47.2,26.221999999999998,32.0,22.6,6.392,61.9
2015.0,1.0,0.8,0.0,0.13,0.6,0.6,0.8,27.0,33.3,23.4,7.9799999999999995,39.6
2015.0,2.0,42.6,0.0,10.222857142857142,26.6,37.0,40.6,26.485714285714284,34.5,23.3,6.708571428571429,69.5
2015.0,3.0,3.2,0.0,0.10857142857142858,3.2,3.2,3.2,27.31714285714286,33.1,23.4,9.717142857142857,39.6
2015.0,4.0,35.0,0.0,3.348571428571428,32.6,34.6,35.0,26.8,32.2,23.1,9.42,42.5
2015.0,5.0,1.2,0.0,0.06952380952380952,1.2,1.2,1.2,27.035714285714285,33.2,23.2,8.781904761904762,75.6
2015.0,6.0,29.4,0.0,2.057142857142857,10.4,13.8,24.2,26.71142857142857,33.8,23.0,9.234285714285715,43.2
2015.0,7.0,2.4,0.0,0.06857142857142857,2.4,2.4,2.4,27.14761904761905,34.7,23.3,9.004999999999999,41.4
2015.0,8.0,26.4,0.0,3.1342857142857143,15.0,20.0,25.0,27.428571428571427,33.6,22.5,8.757142857142856,46.8
2015.0,9.0,67.6,0.0,5.4,35.8,61.2,67.4,27.840000000000003,35.2,20.3,8.034285714285714,42.8
2015.0,10.0,45.6,0.0,2.617142857142857,37.4,44.8,45.6,28.088571428571424,35.2,22.7,7.317142857142857,44.3
2015.0,11.0,84.2,0.0,9.319999999999999,45.4,64.6,70.8,27.414285714285718,34.1,22.6,7.322857142857143,45.7
2015.0,12.0,63.2,0.0,7.140000000000001,48.6,57.0,63.2,28.325714285714287,34.8,22.1,6.291428571428571,47.9
2015.0,13.0,49.6,0.0,3.725714285714285,20.8,29.8,42.4,28.514285714285716,34.8,23.3,7.762857142857143,57.2
2015.0,14.0,34.6,0.0,7.845714285714285,26.8,33.6,34.4,27.837142857142858,34.9,23.2,5.194285714285714,49.0
2015.0,15.0,82.8,0.0,7.274285714285715,38.2,58.6,78.4,28.46,34.5,23.2,5.999999999999999,37.1
2015.0,16.0,48.8,0.0,4.04,22.0,35.0,48.4,28.962857142857143,34.4,22.8,6.208571428571427,37.4
2015.0,17.0,76.6,0.0,10.365714285714287,45.8,58.8,74.0,28.14285714285714,34.4,22.6,5.38,47.2
2015.0,18.0,62.4,0.0,10.857142857142858,27.2,45.4,55.0,27.831428571428567,34.1,22.8,4.905714285714286,88.9
2015.0,19.0,27.2,0.0,2.3657142857142857,26.0,27.0,27.0,28.880000000000003,34.2,23.6,5.602857142857142,38.2
2015.0,20.0,23.4,0.0,3.8285714285714283,21.2,22.6,22.8,28.910476190476185,34.5,23.9,5.491428571428571,64.4
2015.0,21.0,21.2,0.0,3.394285714285714,17.0,20.2,20.8,28.537142857142857,34.2,23.5,5.397142857142858,76.0
2015.0,22.0,17.2,0.0,1.3142857142857143,8.6,11.8,16.0,29.157142857142855,34.8,22.8,6.319999999999999,51.5
2015.0,23.0,31.4,0.0,3.257142857142857,20.0,22.2,23.2,29.21142857142857,34.9,24.4,5.974285714285715,40.3
