Year,Week,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2014.0,1.0,57.6,0.0,15.039999999999997,30.6,42.2,52.0,26.579999999999995,32.0,23.3,6.339999999999999,72.4
2014.0,2.0,21.2,0.0,4.857142857142857,5.0,6.8,9.6,26.642857142857142,31.7,23.2,6.7,66.2
2014.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26.58571428571429,30.9,23.8,8.142857142857142,28.1
2014.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,26.185714285714287,30.5,23.4,8.299999999999999,27.7
2014.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26.742857142857144,32.7,23.1,8.471428571428573,30.2
2014.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,27.114285714285717,32.2,23.7,7.7,25.9
2014.0,7.0,50.4,0.0,8.057142857142857,26.0,36.8,49.2,27.61428571428571,33.6,21.7,7.457142857142857,36.0
2014.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,33.6,25.0,7.714285714285714,33.5
2014.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,27.814285714285713,33.9,24.0,7.4,27.7
2014.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,28.071428571428566,33.4,24.2,7.228571428571428,27.0
2014.0,11.0,20.6,0.0,2.942857142857143,8.4,13.0,16.2,28.371428571428574,34.3,24.4,7.485714285714286,32.8
2014.0,12.0,57.4,0.0,15.685714285714285,30.8,42.0,45.4,27.042857142857144,34.5,23.6,5.799999999999999,38.2
2014.0,13.0,6.6,0.0,1.7428571428571427,6.2,6.6,6.6,28.699999999999996,34.0,25.5,5.757142857142858,25.9
