ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
1 STRAITS BOULEVARD SINGAPORE CHINESE CULTURAL CENTRE SINGAPORE 018906,1,SINGAPORE CHINESE CULTURAL CENTRE,1.2758046353113,103.849615008325,103.849615008325,018906,STRAITS BOULEVARD,SINGAPORE CHINESE CULTURAL CENTRE,29813.6634912575,28697.5207557455
11A STRAITS BOULEVARD TEMPORARY SITE OFFICE SINGAPORE 018907,11A,TEMPORARY SITE OFFICE,1.27494969350594,103.85166524159,103.85166524159,018907,STRAITS BOULEVARD,TEMPORARY SITE OFFICE,30041.838898385897,28602.9872441757
5A MARINA GARDENS DRIVE SINGAPORE 018910,5A,NIL,1.2795867875087599,103.86895567364701,103.86895567364701,018910,MARINA GARDENS DRIVE,5A MARINA GARDENS DRIVE SINGAPORE 018910,31966.1207873868,29115.7533728331
2 CENTRAL BOULEVARD CENTRAL BOULEVARD TOWERS SINGAPORE 018916,2,CENTRAL BOULEVARD TOWERS,1.2797438901136202,103.851591286045,103.851591286045,018916,CENTRAL BOULEVARD,CENTRAL BOULEVARD TOWERS,30033.6044631479,29133.1046761069
21 PARK STREET DBS MARINA BAY MRT STATION SINGAPORE 018925,21,DBS MARINA BAY MRT STATION,1.2764273547671798,103.85459777675399,103.85459777675399,018925,PARK STREET,DBS MARINA BAY MRT STATION,30368.205612112797,28766.3819018323
21 PARK STREET MARINA BAY MRT STATION SINGAPORE 018925,21,MARINA BAY MRT STATION,1.27631114381587,103.854604975361,103.854604975361,018925,PARK STREET,MARINA BAY MRT STATION,30369.0068661775,28753.531901758197
21 PARK STREET MARINA BAY MRT STATION SINGAPORE 018925,21,MARINA BAY MRT STATION (NS27),1.2764092632251103,103.854595266332,103.854595266332,018925,PARK STREET,MARINA BAY MRT STATION (NS27),30367.9262386225,28764.381430253397
21 PARK STREET OCBC MARINA BAY MRT SINGAPORE 018925,21,OCBC MARINA BAY MRT,1.2764273547671798,103.85459777675399,103.85459777675399,018925,PARK STREET,OCBC MARINA BAY MRT,30368.205612112797,28766.3819018323
21 PARK STREET UOB MARINA BAY MRT STATION SINGAPORE 018925,21,UOB MARINA BAY MRT STATION,1.2764273547671798,103.85459777675399,103.85459777675399,018925,PARK STREET,UOB MARINA BAY MRT STATION,30368.205612112797,28766.3819018323
23 PARK STREET MARINA BAY MRT STATION SINGAPORE 018926,23,MARINA BAY MRT STATION (CE2),1.2762514642374498,103.855447156279,103.855447156279,018926,PARK STREET,MARINA BAY MRT STATION (CE2),30462.734976967797,28746.933632647597
