unique location,X,Y
Compassvale Lane ,35209.8504945813,40664.469265380896
Lowland Road,33599.4615805363,38148.481074933
Punggol Drive ,36385.0907721389,42940.2917501666
Paya Lebar Way,33945.040987731896,33880.9435985293
Pasir Ris Street 41 ,,
Cheng Soon Gdn,,
Chuan Drive ,,
GilStreetead Road ,,
Pasir Ris Street 11 ,41653.984165736496,38943.6256381869
Joo Chiat Pl ,,
Jalan Novena Barat ,28964.718949004102,33908.5985472128
Walk ,,
Jalan Joran,,
Loyang Besar Cl ,,
Eden Gr ,,
Jalan Buloh Perindu,,
Farrer Road,25595.5793600511,33542.2408048231
Marine Terminal ,,
Serangoon Avenue 4 ,,
StreetamfoRoad Road,,
Boon Lay Pl ,,
"Phoenix Gdn, Walk",,
Clementi WeStreetStreet 1 ,,
Bt Batok Street 52 ,,
Bt Batok Street 52 ,,
Bishan Street 11,30333.2766010463,36336.188031835496
Amber Road,,
Brighton Cres ,,
Hougang Street21 ,,
ButTerminalworth Lane,,
Bedok South Avenue 3 ,,
Jalan Loyang Besar,,
Ang Mo Kio Ctrl 3 ,,
Bright Hill Cres ,,
Ang Mo Kio Avenue 10 ,,
Shunfu Road,,
Jalan Songket ,,
 Yishun Street 72 ,,
Jalan Nuri ,,
Yishun Street 11 ,,
Hougang Avenue 6 ,,
Choa Chu Kang Street 64 ,18546.638798736,42188.029171235896
Tampines Avenue 9 ,,
Jalan Mata Ayer ,,
Jalan Bangau ,,
Compassvale Lane ,,
Towner Road,,
CrowhurStreet Drive ,,
Usaha ,,
Choa Chu Kang Avenue 4 ,17986.4673777334,40773.7982819472
Tampines Avenue 5 ,,
Pasir Ris Street 41 ,,
Jalan Leban,,
Chartwell Drive ,,
Mei Ling Street ,24839.1219412563,30652.2058355473
Hougang Avenue 2 ,,
Faber Drive ,19575.413271660902,33368.5064223204
Changi Road ,,
Woodlands Drive 16 ,,
Jalan Seaview ,,
Tai Keng Gardens,,
EaStreet CoaStreet Avenue ,,
Tampines Avenue 7 ,,
"EaStreetwood Green, Terminal, Way",,
"Lorong 16, 20, 22 Geylang ",,
Canberra Drive ,,
Woodlands Circle ,24323.3708445812,47289.5891344547
FLoronga Road ,,
Chai Chee Road ,,
Grace Walk ,31937.7207620172,37839.001837897995
Tai Thong Cres ,,
South Buona ViStreeta Road,,
Jalan Belangkas ,,
Keppel Bay Drive ,,
Boon Lay Avenue,14160.7972129667,36777.0499923937
Ang Mo Kio Avenue3 ,,
Bishan Street 24,28973.899621949502,37860.1499570496
Joo Chiat Road ,,
Choa Chu Kang Avenue4 ,,
Ah Soo Gdn,,
Gambas Cres ,,
"Lorong 32, 34Geylang ",,
ANorthony Road ,,
Lorong 4 Toa Payoh ,,
Yishun Avenue 5 ,27371.1442933986,45806.8930951096
Tampines Streetreet 11 ,,
Yishun Ring Road,27507.482551750698,45899.0676108319
Lorong 7 Toa Payoh ,,
Fidelio Street ,,
Bukit Batok Street21 ,,
Jurong WeStreet Street 61 ,,
Frankel Avenue,37061.5022681616,33459.8954535984
Tg Rhu Road ,,
Pillai Road,,
Elliot Road ,,
"Joo Chiat Pl, Terminal",,
"Riverina Cres, View",,
Lorong 40 Geylang,,
Shaw Road,,
Jalan Isnin ,,
Lorong 8 Geylang,,
Jalan Redop ,32086.727200666402,40560.273850193196
Tanah Merah Kechil Avenue ,,
Clementi Avenue 2,20629.2815072909,32920.1320087407
Jurong WeStreet Street 91 ,,
VeRoade Place,,
Chiap Guan Avenue ,,
"Bedok Road, Walk",,
Pasir Ris Drive 6 ,,
Bedok North Avenue 4 ,,
FoRoad Avenue ,,
FLoronga Road ,,
